"","Noun","Visual_mean","Auditory_mean"
"15","bear",4.47058823529412,3.11764705882353
"60","emotion",3.64705882352941,2.88235294117647
"94","hole",4.23529411764706,0.411764705882353
"204","anger",4.11764705882353,3.70588235294118
"363","rock",4.35294117647059,1.64705882352941
"277","apple",4.48780487804878,0.121951219512195
"325","banana",4.73170731707317,0.0476190476190476
"400","water",2.47058823529412,0.529411764705882
"540","tree",4.97674418604651,0.720930232558139
