"","Estimate","Std. Error","z value","Pr(>|z|)","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)"
"(Intercept)",3.07427157494142,0.655102984045996,4.69280655074161,2.69482290529432e-06,NA,NA,NA,NA,NA,NA,NA,NA
"modalityConditionvisual",-0.60237487295849,0.673028477250307,-0.895021374755975,0.37077566191143,22,1286.12371608357,1408.00570312677,-621.061858041786,1242.12371608357,1.22772837760863,2,0.541255310154632
"modalityConditionvocal",0.0908241704716597,0.662618735259675,0.137068521668145,0.890976633657677,22,1286.12371608357,1408.00570312677,-621.061858041786,1242.12371608357,1.22772837760863,2,0.541255310154632
"conditionVisual",-0.940054021541099,0.809445772651428,-1.16135515596289,0.245497497746701,20,1283.35144446118,1394.15325086409,-621.675722230591,1243.35144446118,2.45150053845214,1,0.117412579920027
"trialTotal",0.21387054764044,0.0781557894766712,2.73646455460959,0.00621032850016317,14,1322.0319005818,1399.59316506384,-647.0159502909,1294.0319005818,53.8677577595458,1,2.1444810222126e-13
"trialLength.log",-1.02009251623095,0.158731276989062,-6.42653757709794,1.30543162925908e-10,15,1285.05282770385,1368.15418250603,-627.526413851926,1255.05282770385,38.979072877949,1,4.28373030031503e-10
"matcherResponds.cumulative",0.11508635323395,0.0481277854087839,2.3912663393181,0.01679036769061,19,1283.80294499963,1389.06466108239,-622.901472499817,1245.80294499963,7.11722419278135,1,0.00763468239753288
"modalityConditionvisual:conditionVisual",0.907277706985948,0.76320143704747,1.18877882423263,0.234526712985347,24,1286.06387094831,1419.0260386318,-619.031935474155,1238.06387094831,4.05984513526209,2,0.131345691162762
"modalityConditionvocal:conditionVisual",-0.970496331990015,0.730951239386219,-1.32771692514667,0.184271640068949,24,1286.06387094831,1419.0260386318,-619.031935474155,1238.06387094831,4.05984513526209,2,0.131345691162762
