ID#	word	type	semantic
1	PUNCH	actionV	contact
2	FILL	actionV	change-state
3	ESCAPE	actionN	action(motion-direction)
4	PLACE	actionV	change-location
5	HICCUP	actionN	action(body-action)
6	GATE	object	misc.artifact
7	BLEND	actionV	change-state
8	TOUCH	actionN	action(body-action)
9	SHOE	object	clothing
10	ACHE	actionN	action(body-action)
11	ARRIVAL	actionN	action(motion-direction)
12	CHERRY	object	fruitandvegetable
13	BUS	object	vehicle
14	EXCHANGE	actionV	exchange
15	CRACKLE	actionV	noise
16	SUGGEST	actionV	communication
17	RUN	actionV	motion-manner
18	LOAN	actionN	action(exchange)
19	SHEEP	object	animal
20	ARTICHOKE	object	fruitandvegetable
21	SINK	actionV	motion-direction
22	CHIRP	actionV	noise-animal
23	BURN	actionV	lightemission
24	HIT	actionV	contact
25	LOOK	actionV	body-sense
26	CALL	actionV	communication
27	SHAKE	actionV	change-state
28	PAINT	actionV	construction
29	CAMEL	object	animal
30	HORSE	object	animal
31	DAGGER	object	tool
32	CHIN	object	bodypart
33	KNIFE	object	tool
34	BURP	actionN	action(body-action)
35	SMOKE	actionV	body-action
36	THROW	actionN	action(body-action)
37	COUGH	actionV	body-action
38	CELERY	object	fruitandvegetable
39	MUSHROOM	object	fruitandvegetable
40	GLOW	actionV	light-emission
41	FENCE	object	misc.artifact
42	FINGER	object	bodypart
43	CHIME	actionN	action(noise)
44	TELL	actionV	communication
45	ORANGE	object	fruitandvegetable
46	MEOW	actionV	noise-animal
47	PANTS	object	clothing
48	KNEE	object	bodypart
49	CREEP	actionV	motion-manner
50	MURDER	actionV	destruction
51	BICYCLE	object	vehicle
52	CLATTER	actionV	noise
53	ESCAPE	actionV	motion-direction
54	BOIL	actionV	cooking
55	TALK	actionV	communication
56	FLICKER	actionN	action(light-emission)
57	FRY	actionV	cooking
58	STAGGER	actionV	motion-manner
59	SKID	actionV	motion-manner
60	FOX	object	animal
61	TOOTHBRUSH	object	tool
62	BLINK	actionN	action(body-action)
63	COMB	object	tool
64	CLASH	actionN	action(noise)
65	RAKE	object	tool-action
66	POUND	actionV	tool-action
67	BRUSH	actionV	tool
68	SLAP	actionV	contact
69	DROP	actionV	change-location
70	CEILING	object	misc.artifact
71	BREATHE	actionV	body-action
72	TAKE	actionV	exchange
73	ELBOW	object	bodypart
74	CLATTER	actionN	action(noise)
75	COMMAND	actionN	action(communication)
76	COUCH	object	misc.artifact
77	FALL	actionV	motion-direction
78	JOG	actionV	motion-manner
79	SQUINT	actionN	action(body-action)
80	FLY	actionV	motion-manner
81	HAT	object	clothing
82	DUCK	object	animal
83	TEACH	actionV	communication
84	FEATHER	object	bodypart
85	GRIN	actionV	body-action
86	ONION	object	fruitandvegetable
87	WHISPER	actionV	communication
88	FLAME	actionN	action(light-emission)
89	DONATION	actionN	action(exchange)
90	WRIST	object	bodypart
91	SCREAM	actionN	action(communication)
92	OINK	actionV	noise-animal
93	CARRY	actionV	change-location
94	COAT	object	clothing
95	PREACH	actionV	communication
96	ADVISE	actionV	communication
97	SHAVE	actionV	body-action
98	RAISIN	object	fruitandvegetable
99	INJECT	actionV	body-action
100	SNEEZE	actionV	body-action
101	SPARKLE	actionV	light-emission
102	WANT	actionV	exchange
103	DONKEY	object	animal
104	AIRPLANE	object	vehicle
105	DRILL	actionV	tool
106	RETURN	actionN	action(motion-direction)
107	DROOL	actionV	body-action
108	FIX	actionV	construction
109	BLOUSE	object	clothing
110	SHIP	object	vehicle
111	SOFA	object	misc.artifact
112	FEEL	actionV	body-sense
113	BLEED	actionV	body-action
114	YAWN	actionV	body-action
115	LEG	object	bodypart
116	SAW	object	tool-action
117	BEAN	object	fruitandvegetable
118	READ	actionV	communication
119	CLANG	actionN	action(noise)
120	YELL	actionV	communication
121	ASCEND	actionV	motion-direction
122	FLICKER	actionV	light-emission
123	SHINE	actionN	action(light-emission)
124	BUILD	actionV	construction
125	ARGUE	actionV	communication
126	RABBIT	object	animal
127	ACCEPT	actionV	exchange
128	CUCUMBER	object	fruitandvegetable
129	ROAST	actionV	cooking
130	SIGH	actionN	action(communication)
131	COUGH	actionN	action(body-action)
132	FROWN	actionV	body-action
133	KNOCK	actionN	action(contact)
134	LOAN	actionV	exchange
135	CHOP	actionV	destruction
136	GLOW	actionN	action(light-emission)
137	WINK	actionV	body-action
138	BEAR	object	animal
139	DRIVE	actionV	motion-manner
140	APPLE	object	fruitandvegetable
141	GROWL	actionN	action(noise-animal)
142	HATCHET	object	tool
143	KICK	actionV	body-action
144	SLIDE	actionV	motion-manner
145	RAFT	object	vehicle
146	CONSTRUCTION	actionN	action(construction)
147	PEA	object	fruitandvegetable
148	LOSE	actionV	action
149	TRADE	actionN	action(exchange)
150	SPOON	object	tool
151	MOUSE	object	animal
152	REQUEST	actionV	communication
153	MIX	actionV	change-state
154	WRITE	actionV	communication
155	SNORE	actionV	body-action
156	WHINE	actionN	action(communication)
157	VEST	object	clothing
158	FROWN	actionN	action(body-action)
159	SIGH	actionV	noise
160	WANDER	actionV	motion-manner
161	RATTLE	actionV	noise
162	HAIR	object	bodypart
163	GIVE	actionV	exchange
164	FORK	object	misc.artifact
165	HEAD	object	bodypart
166	WASH	actionV	body-action
167	NOTICE	actionV	body-sense
168	SAY	actionV	communication
169	CHAT	actionV	communication
170	EMPTY	actionV	change-state
171	BOMB	actionV	misc.artifact
172	ASCENT	actionN	action(motion-direction)
173	PINEAPPLE	object	fruitandvegetable
174	EAT	actionV	body-action
175	YELL	actionN	action(communication)
176	FLAME	actionV	light-emission
177	ROOF	object	misc.artifact
178	BELT	object	clothing
179	RISE	actionV	motion-direction
180	CORN	object	fruitandvegetable
181	HICCUP	actionV	body-action
182	SPARKLE	actionN	action(light-emission)
183	CRACKLE	actionN	action(noise)
184	MURDER	actionN	action(destruction)
185	PLEAD	actionV	communication
186	CUT	actionV	tool-action
187	BAKE	actionV	cooking
188	GRAPE	object	fruitandvegetable
189	ENTER	actionV	motion-direction
190	STIR	actionV	change-state
191	WHISPER	actionN	action(communication)
192	WALK	actionV	motion-manner
193	BOUNCE	actionV	motion-manner
194	PUSH	actionN	action(change-location)
195	EJECT	actionV	change-location
196	ITCH	actionN	action(body-action)
197	ACHE	actionV	body-sense
198	DESTROY	actionV	destruction
199	SCREECH	actionV	noise
200	TRADE	actionV	exchange
201	SHIELD	object	tool
202	SOCK	object	clothing
203	ASPARAGUS	object	fruitandvegetable
204	STAY	actionV	body-action
205	ADMIT	actionV	communication
206	DRAG	actionV	change-location
207	HELICOPTER	object	vehicle
208	PUSH	actionV	change-location
209	CHISEL	object	tool
210	CARPET	object	misc.artifact
211	CAULIFLOWER	object	fruitandvegetable
212	TEETH	object	bodypart
213	SHOUT	actionN	action(communication)
214	SWAN	object	animal
215	LION	object	animal
216	SENSE	actionV	body-sense
217	PUT	actionV	change-location
218	THUMB	object	bodypart
219	SING	actionV	noise
220	HAMMER	object	tool-action
221	CABBAGE	object	fruitandvegetable
222	THREATEN	actionV	communication
223	BOMBARDMENT	actionN	action(destruction)
224	BURP	actionV	body-action
225	DEMAND	actionN	action(communication)
226	BREAK	actionV	destruction
227	TWIST	actionV	change-state
228	CHIME	actionV	noise
229	GLOVE	object	clothing
230	STOOL	object	misc.artifact
231	TRUCK	object	vehicle
232	STEAM	actionV	cooking
233	SMILE	actionN	action(body-action)
234	SWORD	object	tool
235	BRUSH	object	tool-action
236	WATCH	actionV	body-action
237	CRASH	actionV	contact
238	MARCH	actionV	motion-manner
239	DESCENT	actionN	action(motion-direction)
240	FIND	actionV	action
241	TWEEZERS	object	tool
242	OINK	actionN	action(noise-animal)
243	SMELL	actionV	body-sense
244	SEND	actionV	change-location
245	ENTRY	actionN	action(motion-direction)
246	WATERMELON	object	fruitandvegetable
247	SPRAY	actionV	change-state
248	SHINE	actionV	light-emission
249	BUY	actionV	exchange
250	LEAVE	actionV	motion-direction
251	LIPS	object	bodypart
252	WOLF	object	animal
253	BOAT	object	vehicle
254	PEPPER	object	fruitandvegetable
255	LICK	actionV	body-action
256	SHOVEL	actionV	tool
257	STAB	actionV	destruction
258	SEAT	object	misc.artifact
259	INVITE	actionV	communication
260	BORROW	actionV	exchange
261	DESCEND	actionV	motion-direction
262	CHAT	actionN	action(communication)
263	SNIFF	actionV	body-sense
264	CHALLENGE	actionN	action(communication)
265	SCISSORS	object	tool
266	SUIT	object	clothing
267	TASTE	actionV	body-sense
268	CRASH	actionN	action(contact)
269	LEMON	object	fruitandvegetable
270	SAW	actionV	tool
271	CRY	actionV	body-action
272	TREMBLE	actionV	body-action
273	APPROACH	actionN	action(motion-direction)
274	DIVE	actionV	motion-manner
275	DRILL	object	tool-action
276	FACE	object	bodypart
277	BEAK	object	bodypart
278	YAWN	actionN	action(body-action)
279	BUMP	actionV	contact
280	PEDAL	actionV	motion-manner
281	SEE	actionV	body-sense
282	HOE	actionV	tool
283	GRAPEFRUIT	object	fruitandvegetable
284	POUR	actionV	change-state
285	PENCIL	object	tool
286	ELEPHANT	object	animal
287	BROCCOLI	object	fruitandvegetable
288	BLINK	actionV	body-action
289	SCREECH	actionN	action(noise)
290	BEND	actionV	change-state
291	SPIT	actionV	body-action
292	PLEA	actionN	action(communication)
293	PRESS	actionV	contact
294	LEND	actionV	exchange
295	MOTORCYCLE	object	vehicle
296	RASPBERRY	object	fruitandvegetable
297	CARROT	object	fruitandvegetable
298	DRINK	actionV	body-action
299	SHOVEL	object	tool-action
300	MEOW	actionN	action(noise-animal)
301	POTATO	object	fruitandvegetable
302	SMILE	actionV	body-action
303	DOORKNOB	object	misc.artifact
304	STOP	actionV	motion-manner
305	CALL	actionN	action(communication)
306	WARN	actionV	communication
307	AXE	object	tool
308	RETURN	actionV	motion-direction
309	DESTRUCTION	actionN	action(destruction)
310	BARK	actionV	noise-animal
311	DRESS	object	clothing
312	TICKLE	actionV	body-action
313	HAMMER	actionV	tool
314	FUR	object	bodypart
315	LIFT	actionV	change-location
316	SNORE	actionN	action(body-action)
317	CURTAIN	object	misc.artifact
318	SCREWDRIVER	object	tool
319	KNOCK	actionV	body-action
320	MAKE	actionV	construction
321	DONATE	actionV	exchange
322	SHOULDER	object	bodypart
323	BIRD	object	animal
324	SWERVE	actionV	motion-manner
325	GIRAFFE	object	animal
326	THROW	actionV	body-action
327	GUN	object	tool
328	GO	actionV	motion-direction
329	LIMP	actionV	motion-manner
330	THREAT	actionN	action(communication)
331	LEAD	actionV	motion-direction
332	PAW	object	bodypart
333	GREET	actionV	communication
334	PEN	object	tool
335	PEAR	object	fruitandvegetable
336	RUG	object	misc.artifact
337	CONSTRUCT	actionV	construction
338	RETCH	actionV	body-action
339	GRILL	actionV	cooking
340	RECEIVE	actionV	exchange
341	LETTUCE	object	fruitandvegetable
342	SKIRT	object	clothing
343	CAR	object	vehicle
344	SELL	actionV	exchange
345	PLUM	object	fruitandvegetable
346	TABLE	object	misc.artifact
347	VAN	object	vehicle
348	REPAIR	actionV	construction
349	APPROACH	actionV	motion-direction
350	MITTEN	object	clothing
351	WING	object	bodypart
352	ANKLE	object	bodypart
353	ZEBRA	object	animal
354	RAZOR	object	tool
355	COMMAND	actionV	communication
356	WINK	actionN	action(body-action)
357	PULL	actionN	action(change-location)
358	HIT	actionN	action(contact)
359	FLOOR	object	misc.artifact
360	HOLD	actionV	body-action
361	PUMPKIN	object	fruitandvegetable
362	NECK	object	bodypart
363	DOOR	object	misc.artifact
364	ARM	object	bodypart
365	SIT	actionV	body-action
366	CHAIR	object	misc.artifact
367	STAND	actionV	body-action
368	BOOK	object	misc.artifact
369	MOVE	actionV	change-location
370	DIE	actionV	body-action
371	GOAT	object	animal
372	PIG	object	animal
373	COME	actionV	motion-direction
374	NOSE	object	bodypart
375	DOG	object	animal
376	WRENCH	object	tool
377	CAT	object	animal
378	COW	object	animal
379	BOX	object	misc.artifact
380	FISH	object	animal
381	EYE	object	bodypart
382	HALT	actionV	motion-manner
383	HAND	object	bodypart
384	HEAR	actionV	body-sense
385	SUGGESTION	actionN	action(communication)
386	SWEATER	object	clothing
387	FLASH	actionV	action(light-emission)
388	ARRIVE	actionV	motion-direction
389	BROOM	object	tool
390	LISTEN	actionV	body-sense
391	RIDE	actionV	motion-manner
392	ASK	actionV	communication
393	VOMIT	actionV	body-action
394	CHIRP	actionN	action(noise-animal)
395	TRAIN	object	vehicle
396	SHOUT	actionV	communication
397	RAKE	actionV	tool
398	PLIERS	object	tool
399	TOUCH	actionV	body-sense
400	DRAW	actionV	construction
401	SQUINT	actionV	body-action
402	ACQUIRE	actionV	exchange
403	SHIRT	object	clothing
404	TAIL	object	bodypart
405	STRAWBERRY	object	fruitandvegetable
406	REQUEST	actionN	action(communication)
407	SCREAM	actionV	communication
408	WINDOW	object	misc.artifact
409	GROWL	actionV	noise-animal
410	PAY	actionV	exchange
411	CRY	actionN	action(communication)
412	FOLLOW	actionV	motion-direction
413	TREMBLE	actionN	action(body-action)
414	INHALE	actionV	body-action
415	KILL	actionV	destruction
416	SLAP	actionN	action(contact)
417	DEMAND	actionV	communication
418	TOE	object	bodypart
419	LEOPARD	object	animal
420	EAR	object	bodypart
421	CLANG	actionV	noise
422	SNAP	actionV	noise
423	TRICYCLE	object	vehicle
424	WADE	actionV	motion-manner
425	SPEAK	actionV	communication
426	SCARF	object	clothing
427	SPINACH	object	fruitandvegetable
428	HOP	actionV	motion-manner
429	GET	actionV	exchange
430	CROWBAR	object	tool
431	LIME	object	fruitandvegetable
432	LOSS	actionN	action(action)
433	WHINE	actionV	communication
434	PULL	actionV	change-location
435	SWIM	actionV	motion-manner
436	REPAIR	actionN	action(construction)
437	SNEEZE	actionN	action(body-action)
438	ITCH	actionV	body-action
439	EXCHANGE	actionN	action(exchange)
440	EGGPLANT	object	fruitandvegetable
441	DUSTPAN	object	tool
442	COOK	actionV	cooking
443	SWALLOW	actionV	body-action
444	STEP	actionV	motion-manner
445	CHASE	actionV	motion-manner
446	SMASH	actionV	destruction
447	PEACH	object	fruitandvegetable
448	FILE	object	tool
449	BANANA	object	fruitandvegetable
450	HOE	object	tool-action
451	WALL	object	misc.artifact
452	BOMB	object	destruction
453	TRAVEL	actionV	motion-manner
454	MOUTH	object	bodypart
455	TIGER	object	animal
456	TONGUE	object	bodypart
