feature#	feature	Visual	Perceptual	Functional	Motoric
240	direct	1	0	1	1
241	direction	0	1	1	1
242	dirt	1	0	0	0
243	disappoint	0	0	0	0
244	discomfort	0	1	0	0
245	discover	1	0	1	0
246	disgust	0	0	0	0
247	dislike	0	0	0	0
248	displease	0	0	0	0
249	disrupt	0	0	0	0
250	distance	0	0	0	0
251	disturb	0	0	0	0
252	divide	0	0	1	0
253	do	0	0	0	1
254	dog	0	0	0	0
255	domestic	0	0	0	0
256	door	1	0	0	0
257	down	1	0	0	0
258	drag	0	0	0	1
259	dressy	0	0	0	0
260	drink	0	0	1	1
261	drive	0	0	1	1
262	drop	0	0	0	1
263	drug	0	0	1	0
264	drunk	0	0	0	0
265	dry	0	1	0	0
266	dull	1	1	0	0
267	dust	0	0	0	0
268	ear	1	1	0	0
269	easy	0	0	0	0
270	eat	0	0	1	1
271	eats	0	0	1	0
272	edge	1	0	0	0
273	effort	0	0	0	1
274	egg	0	0	0	0
275	electric	0	0	0	0
276	elevate	0	0	1	1
277	embarrass	0	0	0	0
278	emit	1	1	0	1
279	emotion	0	0	0	0
280	enclose	0	0	1	0
281	end	1	0	1	0
282	end-life	0	0	0	0
283	energy	0	0	0	1
284	engine	0	0	0	0
285	enjoy	0	0	0	0
286	enter	0	0	1	1
287	eraser	1	0	0	0
288	event	0	0	0	0
289	excess	0	0	0	0
290	exchange	0	0	1	0
291	excite	0	0	0	0
292	exercise	0	0	1	1
293	exhale	0	0	0	1
294	exit	0	0	1	1
295	expel	0	0	1	1
296	expensive	0	0	0	0
297	experience	0	1	1	0
298	explain	0	0	1	0
299	explode	1	0	1	1
300	express	0	0	1	0
301	extend	1	0	0	1
302	eye	1	0	0	1
303	eyebrow	1	0	0	0
304	eyelid	1	0	0	0
305	face	1	0	0	0
306	fall	1	0	0	1
307	family	0	0	0	0
308	farm	0	0	0	0
309	fashion	0	0	0	0
310	fast	1	1	0	1
311	fat	1	0	0	0
312	favor	0	0	0	0
313	fear	0	0	0	0
314	feather	1	0	0	1
315	feel	0	1	1	0
316	feet	1	0	0	0
317	feline	0	0	0	0
318	ferocious	0	0	0	0
319	field	0	0	0	0
320	fight	0	0	0	0
321	fin	1	0	0	0
322	finger	1	0	0	1
323	fingernail	1	0	0	0
324	finish	0	0	1	0
325	fire	1	1	0	0
326	first	0	0	0	0
327	fish	0	0	0	0
328	fist	0	0	0	1
329	fix	0	0	1	1
330	flame	1	1	0	0
331	flap	1	0	0	1
332	flash	1	0	0	0
333	flat	1	0	0	0
334	flavor	0	1	1	0
335	flee	0	0	1	0
336	flesh	1	0	0	0
337	flex	1	0	1	1
338	flirt	0	0	1	0
339	float	0	0	1	1
340	floor	0	0	0	0
341	flower	1	0	0	0
342	flu	0	0	0	0
343	fly	0	0	1	1
344	follow	0	0	1	1
345	follower	0	0	0	0
346	food	0	0	0	0
347	foot	1	0	1	1
348	football	0	0	0	0
349	force	0	0	1	1
350	forearm	1	0	0	0
351	forest	0	0	0	0
352	form	1	0	1	0
353	formal	0	0	0	0
354	forward	0	0	0	1
355	free	0	0	1	0
356	friction	0	1	0	1
357	friend	0	0	0	0
358	friendly	0	0	0	0
359	front	1	0	0	0
360	fruit	0	0	0	0
361	frustrate	0	0	0	0
362	fun	0	0	0	0
363	function	0	0	1	0
364	fungus	0	0	0	0
365	funny	0	0	0	0
366	fur	1	0	0	0
367	furniture	0	0	0	0
368	fuzz	1	1	0	0
369	gain	0	0	1	0
370	game	0	0	0	0
371	garden	0	0	0	0
372	gas	0	0	0	0
373	gather	0	0	1	1
374	generous	0	0	0	0
375	germ	0	0	0	0
376	gesture	0	0	0	1
377	get	0	0	1	1
378	get-away	0	0	1	0
379	get-back	0	0	1	0
380	get-rid	0	0	1	0
381	get-up	0	0	0	1
382	gift	0	0	0	0
383	gill	1	0	0	0
384	give	0	0	1	1
385	glass	0	0	0	0
386	glimmer	1	0	0	0
387	glitter	1	0	0	0
388	glow	1	0	0	0
389	go	0	0	0	1
390	goal	0	0	1	0
391	gold	1	0	0	0
392	good	0	0	0	0
393	goods	0	0	0	0
394	gossip	0	0	1	0
395	grab	0	0	1	1
396	grace	0	0	0	0
397	grape	0	0	0	0
398	graphite	1	0	0	0
399	grasp	0	1	1	1
400	grass	0	0	0	0
401	gravity	0	0	0	0
402	gray	1	0	0	0
403	green	1	0	0	0
404	grind	0	0	0	1
405	grip	0	0	1	1
406	gross	0	0	0	0
407	ground	0	0	0	0
408	group	0	0	0	0
409	grow	0	0	0	1
410	guide	0	0	1	0
411	hair	1	0	0	0
412	Halloween	0	0	0	0
413	hammer	0	0	0	1
414	hand	0	0	0	1
415	handheld	0	0	0	1
416	handle	1	0	0	1
417	hang	1	0	1	1
418	happy	0	0	0	0
419	hard	0	1	0	1
420	harsh	0	1	0	0
421	have	0	0	0	0
422	head	1	0	0	0
423	headfirst	0	0	0	1
424	health	0	0	0	0
425	healthy	0	0	0	0
426	hear	0	1	1	0
427	heart	0	0	0	0
428	heat	0	1	0	0
429	heavy	0	1	0	0
430	hello	0	0	0	0
431	help	0	0	1	0
432	herd	0	0	0	0
433	hide	1	1	1	0
434	high	1	1	0	0
435	high-pitched	0	1	0	0
436	high-pitched	0	1	0	0
437	hinge	1	0	1	1
438	hit	0	0	1	1
439	hold	0	0	1	1
440	hole	1	0	1	0
441	hollow	1	1	0	0
442	home	0	0	0	0
443	hoof	1	0	0	0
444	hop	0	0	0	1
445	horse	0	0	0	0
446	hot	0	1	0	0
447	house	0	0	0	0
448	huge	1	0	0	0
449	humans	0	0	0	0
450	hump	1	0	0	0
451	hunger	0	1	1	0
452	hunt	0	0	1	0
453	hurt	0	1	0	0
454	ice	0	0	0	0
455	idea	0	0	0	0
456	identify	1	1	1	0
457	illegal	0	0	0	0
458	illuminate	1	0	1	0
459	image	1	0	0	0
460	impact	0	0	0	1
461	important	0	0	0	0
462	improve	0	0	1	0
463	in	1	0	0	0
464	in-charge	0	0	0	0
465	informal	0	0	0	0
466	information	0	0	1	0
467	ingest	0	0	0	1
468	ingredient	0	0	0	0
469	inhale	0	0	1	1
470	ink	0	0	0	0
471	innocent	0	0	0	0
472	insect	0	0	0	0
473	inside	1	0	0	0
474	insist	0	0	0	0
475	instruct	0	0	1	0
476	instrument	0	0	0	0
477	intelligent	0	0	0	0
478	intentional	0	0	0	0
479	interest	0	0	0	0
480	into	0	0	0	0
481	introduce	0	0	1	0
482	involuntary	0	0	0	0
483	irritate	0	1	0	0
484	itch	0	1	0	0
485	jacket	0	0	0	0
486	jail	0	0	0	0
487	jaw	1	0	0	1
488	job	0	0	0	0
489	job-application	0	0	0	0
490	join	0	0	1	0
491	joint	0	0	1	1
492	juice	0	0	0	0
493	jump	0	0	1	1
494	jungle	0	0	0	0
495	keep-in	0	0	1	0
496	keep-out	0	0	1	0
497	kick	0	0	1	1
498	kill	0	0	1	0
499	kind	0	0	0	0
500	kiss	0	0	1	1
501	kitchen	0	0	0	0
502	knee	1	0	0	1
503	knife	0	0	0	0
504	know	0	0	0	0
505	knowledge	0	0	0	0
506	knuckle	1	0	0	0
507	lake	0	0	0	0
508	land	0	0	0	1
509	language	0	0	0	0
510	large	1	1	0	0
