filename,dyadNumber,condition,game,trial,target,choice,correct,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D16_TT_Coded.eaf,D16,Auditory,0,2,3,3,Correct,1,Director,1,"T1",247510,250910,3400,Acoustic,247510,250910,3400,"X"
D16_TT_Coded.eaf,D16,Auditory,0,3,8,8,Correct,2,Director,1,"T1",277690,280310,2620,Acoustic,277690,280310,2620,"X"
D16_TT_Coded.eaf,D16,Auditory,0,4,5,5,Correct,1,Director,1,"T1",324300,324900,600,Acoustic,324300,324900,600,"X"
D16_TT_Coded.eaf,D16,Auditory,0,5,4,7,Incorrect,2,Director,1,"T1",339090,339600,510,Acoustic,339090,339600,510,"X"
D16_TT_Coded.eaf,D16,Auditory,0,6,6,2,Incorrect,1,Director,1,"T1",360905,363195,2290,Acoustic,360905,363195,2290,"X"
D16_TT_Coded.eaf,D16,Auditory,0,7,2,2,Correct,2,Director,1,"T1",384510,386500,1990,Acoustic,384510,386500,1990,"X"
D16_TT_Coded.eaf,D16,Auditory,0,8,1,1,Correct,1,Director,1,"T1",427520,430300,2780,Acoustic,427520,430300,2780,"X"
D16_TT_Coded.eaf,D16,Auditory,0,9,5,5,Correct,2,Director,1,"T1",448510,449010,500,Acoustic,448510,449010,500,"X"
D16_TT_Coded.eaf,D16,Auditory,0,10,2,1,Incorrect,1,Director,1,"T1",484630,487410,2780,Acoustic,484630,487410,2780,"X"
D16_TT_Coded.eaf,D16,Auditory,0,11,3,8,Incorrect,2,Director,1,"T1",513110,516900,3790,Acoustic,513110,516900,3790,"X"
D16_TT_Coded.eaf,D16,Auditory,0,12,8,8,Correct,1,Director,1,"T1",546610,548910,2300,Acoustic,546610,548910,2300,"X"
D16_TT_Coded.eaf,D16,Auditory,0,13,6,8,Incorrect,2,Director,1,"T1",558400,561290,2890,Acoustic,558400,561290,2890,"X"
D16_TT_Coded.eaf,D16,Auditory,0,14,4,4,Correct,1,Director,1,"T1",577200,577800,600,Acoustic,577200,577800,600,"X"
D16_TT_Coded.eaf,D16,Auditory,0,15,7,8,Incorrect,2,Director,1,"T1",596800,599600,2800,Acoustic,596800,599600,2800,"X"
D16_TT_Coded.eaf,D16,Auditory,1,0,8,8,Correct,1,Director,1,"T1",655000,657100,2100,Acoustic,655000,657100,2100,"X"
D16_TT_Coded.eaf,D16,Auditory,1,1,6,8,Incorrect,2,Director,1,"T1",664600,667610,3010,Acoustic,664600,667610,3010,"X"
D16_TT_Coded.eaf,D16,Auditory,1,2,5,5,Correct,1,Director,1,"T1",678695,679615,920,Acoustic,678695,679615,920,"X"
D16_TT_Coded.eaf,D16,Auditory,1,3,4,4,Correct,2,Director,1,"T1",689890,690300,410,Acoustic,689890,690300,410,"X"
D16_TT_Coded.eaf,D16,Auditory,1,4,2,1,Incorrect,1,Director,1,"T1",707510,710610,3100,Acoustic,707510,710610,3100,"X"
D16_TT_Coded.eaf,D16,Auditory,1,5,3,3,Correct,2,Director,1,"T1",736300,739610,3310,Acoustic,736300,739610,3310,"X"
D16_TT_Coded.eaf,D16,Auditory,1,6,6,2,Incorrect,1,Director,1,"T1",765200,767300,2100,Acoustic,765200,767300,2100,"X"
D16_TT_Coded.eaf,D16,Auditory,1,7,2,2,Correct,2,Director,1,"T1",785710,787500,1790,Acoustic,785710,787500,1790,"X"
D16_TT_Coded.eaf,D16,Auditory,1,8,4,4,Correct,1,Director,1,"T1",808300,808900,600,Acoustic,808300,808900,600,"X"
D16_TT_Coded.eaf,D16,Auditory,1,9,7,7,Correct,2,Director,1,"T1",822300,825810,3510,Acoustic,822300,825810,3510,"X"
D16_TT_Coded.eaf,D16,Auditory,1,10,3,3,Correct,1,Director,1,"T1",846900,850500,3600,Acoustic,846900,850500,3600,"X"
D16_TT_Coded.eaf,D16,Auditory,1,11,8,8,Correct,2,Director,1,"T1",867710,870010,2300,Acoustic,867710,870010,2300,"X"
D16_TT_Coded.eaf,D16,Auditory,1,12,1,1,Correct,1,Director,1,"T1",882610,885700,3090,Acoustic,882610,885700,3090,"X"
D16_TT_Coded.eaf,D16,Auditory,1,13,5,5,Correct,1,Matcher,1,"T1",900800,901610,810,Acoustic,900800,901610,810,"X"
D16_TT_Coded.eaf,D16,Auditory,1,14,7,7,Correct,1,Director,1,"T1",925110,928120,3010,Acoustic,925110,928120,3010,"X"
D16_TT_Coded.eaf,D16,Auditory,1,15,1,1,Correct,2,Director,1,"T1",945990,945995,5,Acoustic,945990,945995,5,"X"
D16_TT_Coded.eaf,D16,Auditory,1,15,1,1,Correct,2,Director,2,"T1",945995,948195,2200,Acoustic,945990,945995,5,"X"
D16_TT_Coded.eaf,D16,Auditory,1,15,1,1,Correct,2,Director,1,"T1",945990,945995,5,Acoustic,945995,948195,2200,"X"
D16_TT_Coded.eaf,D16,Auditory,1,15,1,1,Correct,2,Director,2,"T1",945995,948195,2200,Acoustic,945995,948195,2200,"X"
D16_TT_Coded.eaf,D16,Auditory,2,0,3,3,Correct,1,Director,1,"T1",980700,984400,3700,Acoustic,980700,984400,3700,"X"
D16_TT_Coded.eaf,D16,Auditory,2,1,8,8,Correct,2,Director,1,"T1",996510,999610,3100,Acoustic,996510,999610,3100,"X"
D16_TT_Coded.eaf,D16,Auditory,2,2,4,4,Correct,1,Director,1,"T1",1010600,1011110,510,Acoustic,1010600,1011110,510,"X"
D16_TT_Coded.eaf,D16,Auditory,2,3,7,7,Correct,2,Director,1,"T1",1021200,1024000,2800,Acoustic,1021200,1024000,2800,"X"
D16_TT_Coded.eaf,D16,Auditory,2,4,6,2,Incorrect,1,Director,1,"T1",1037190,1039800,2610,Acoustic,1037190,1039800,2610,"X"
D16_TT_Coded.eaf,D16,Auditory,2,5,2,2,Correct,2,Director,1,"T1",1052790,1055300,2510,Acoustic,1052790,1055300,2510,"X"
