filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D15_TT_Coded.eaf,D15,Visual,0,0,7,7,Correct,40464,54143,Ga0 Tu0 Ta7 {*7* 2 3} Ch7,152275,1,Director,1,"T1",43232,54402,11170,Visual,43225,54405,11180,"X"
D15_TT_Coded.eaf,D15,Visual,0,1,1,1,Correct,152275,171697,Ga0 Tu1 Ta1 {6 4 *1*} Ch1,173938,2,Director,1,"T1",158418,171418,13000,Visual,158390,163026,4636,"X"
D15_TT_Coded.eaf,D15,Visual,0,1,1,1,Correct,152275,171697,Ga0 Tu1 Ta1 {6 4 *1*} Ch1,173938,2,Director,1,"T1",158418,171418,13000,Visual,165607,171445,5838,"X"
D15_TT_Coded.eaf,D15,Visual,0,2,3,3,Correct,173938,181977,Ga0 Tu2 Ta3 {4 5 *3*} Ch3,183745,1,Director,1,"T1",174621,180621,6000,Visual,174621,180621,6000,"X"
D15_TT_Coded.eaf,D15,Visual,0,3,8,5,Incorrect,183745,206184,Ga0 Tu3 Ta8 {*5* 8 3} Ch5,207753,2,Director,1,"T1",187188,205824,18636,Visual,187188,195837,8649,"X"
D15_TT_Coded.eaf,D15,Visual,0,3,8,5,Incorrect,183745,206184,Ga0 Tu3 Ta8 {*5* 8 3} Ch5,207753,2,Director,1,"T1",187188,205824,18636,Visual,197608,205850,8242,"X"
D15_TT_Coded.eaf,D15,Visual,0,4,5,6,Incorrect,207753,232047,Ga0 Tu4 Ta5 {7 5 *6*} Ch6,233870,1,Director,1,"T1",208391,228040,19649,Visual,208391,215216,6825,"X"
D15_TT_Coded.eaf,D15,Visual,0,4,5,6,Incorrect,207753,232047,Ga0 Tu4 Ta5 {7 5 *6*} Ch6,233870,1,Director,1,"T1",208391,228040,19649,Visual,216405,219026,2621,"X"
D15_TT_Coded.eaf,D15,Visual,0,4,5,6,Incorrect,207753,232047,Ga0 Tu4 Ta5 {7 5 *6*} Ch6,233870,1,Director,1,"T1",208391,228040,19649,Visual,220216,228053,7837,"X"
D15_TT_Coded.eaf,D15,Visual,0,5,4,4,Correct,233870,241910,Ga0 Tu5 Ta4 {*4* 7 1} Ch4,245350,2,Director,1,"T1",234810,242040,7230,Visual,234810,242040,7230,"X"
D15_TT_Coded.eaf,D15,Visual,0,6,6,8,Incorrect,245350,257118,Ga0 Tu6 Ta6 {2 6 *8*} Ch8,258254,1,Director,1,"T1",244012,255229,11217,Visual,244012,255229,11217,"X"
