filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D7_Coded_TT.eaf,D7,Visual,0,0,8,6,Incorrect,32471,51815,Ga0 Tu0 Ta8 {1 8 *6*} Ch6,56443,1,Matcher,1,"T1",40610,44010,3400,Acoustic,40610,44010,3400,"X"
D7_Coded_TT.eaf,D7,Visual,0,1,6,7,Incorrect,56443,172735,Ga0 Tu1 Ta6 {6 *7* 8} Ch7,184407,2,Matcher,1,"T1",165210,166310,1100,Acoustic,165210,166310,1100,"X"
D7_Coded_TT.eaf,D7,Visual,0,2,5,7,Incorrect,184407,198850,Ga0 Tu2 Ta5 {*7* 5 6} Ch7,206800,1,Matcher,1,"T1",189410,191410,2000,Acoustic,189410,191410,2000,"X"
D7_Coded_TT.eaf,D7,Visual,0,3,4,1,Incorrect,206800,218013,Ga0 Tu3 Ta4 {4 7 *1*} Ch1,222166,2,Matcher,1,"T1",208700,209410,710,Acoustic,208700,209410,710,"X"
D7_Coded_TT.eaf,D7,Visual,0,4,2,2,Correct,222166,234675,Ga0 Tu4 Ta2 {5 1 *2*} Ch2,237508,1,Matcher,1,"T1",226110,228910,2800,Acoustic,226110,228910,2800,"X"
D7_Coded_TT.eaf,D7,Visual,0,5,3,3,Correct,237508,247772,Ga0 Tu5 Ta3 {8 *3* 4} Ch3,250218,2,Matcher,1,"T1",240210,240710,500,Acoustic,240210,240710,500,"X"
D7_Coded_TT.eaf,D7,Visual,0,6,6,8,Incorrect,250218,269722,Ga0 Tu6 Ta6 {2 6 *8*} Ch8,270600,1,Matcher,1,"T1",260310,262210,1900,Acoustic,260310,262210,1900,"X"
D7_Coded_TT.eaf,D7,Visual,0,7,2,2,Correct,270600,277915,Ga0 Tu7 Ta2 {*2* 1 4} Ch2,283889,2,Matcher,1,"T1",271710,272710,1000,Acoustic,271710,272710,1000,"X"
D7_Coded_TT.eaf,D7,Visual,0,8,4,6,Incorrect,283889,295600,Ga0 Tu8 Ta4 {*6* 5 4} Ch6,298274,1,Matcher,1,"T1",287020,288910,1890,Acoustic,287020,288910,1890,"X"
D7_Coded_TT.eaf,D7,Visual,0,9,7,7,Correct,298274,324185,Ga0 Tu9 Ta7 {8 *7* 3} Ch7,326500,2,Matcher,1,"T1",307110,308310,1200,Acoustic,307110,308310,1200,"X"
D7_Coded_TT.eaf,D7,Visual,0,10,3,3,Correct,326500,350431,Ga0 Tu10 Ta3 {4 5 *3*} Ch3,353936,1,Matcher,1,"T1",328010,328910,900,Acoustic,328010,328910,900,"X"
D7_Coded_TT.eaf,D7,Visual,0,11,8,5,Incorrect,353936,376743,Ga0 Tu11 Ta8 {*5* 8 3} Ch5,383550,2,Matcher,1,"T1",360110,361210,1100,Acoustic,360110,361210,1100,"X"
D7_Coded_TT.eaf,D7,Visual,0,12,1,1,Correct,383550,398294,Ga0 Tu12 Ta1 {*1* 7 2} Ch1,401606,1,Matcher,1,"T1",387910,388410,500,Acoustic,387910,388410,500,"X"
D7_Coded_TT.eaf,D7,Visual,0,13,5,3,Incorrect,401606,434005,Ga0 Tu13 Ta5 {2 *3* 5} Ch3,436652,2,Matcher,1,"T1",423910,424310,400,Acoustic,423910,424310,400,"X"
D7_Coded_TT.eaf,D7,Visual,0,14,7,7,Correct,436652,455235,Ga0 Tu14 Ta7 {*7* 2 3} Ch7,457916,1,Matcher,1,"T1",444110,445910,1800,Acoustic,444110,445910,1800,"X"
