filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D17_TT_Coded.eaf,D17,Visual,0,0,3,3,Correct,351380,363203,Ga0 Tu0 Ta3 {4 5 *3*} Ch3,364350,2,Matcher,1,"T1",353226,360429,7203,Visual,353226,360429,7203,"X"
D17_TT_Coded.eaf,D17,Visual,0,1,8,5,Incorrect,364350,390438,Ga0 Tu1 Ta8 {*5* 8 3} Ch5,398042,1,Matcher,1,"T1",370211,377225,7014,Visual,370211,377225,7014,"X"
D17_TT_Coded.eaf,D17,Visual,0,1,8,5,Incorrect,364350,390438,Ga0 Tu1 Ta8 {*5* 8 3} Ch5,398042,2,Director,1,"T2",381229,385229,4000,Visual,381229,385229,4000,"X"
D17_TT_Coded.eaf,D17,Visual,0,1,8,5,Incorrect,364350,390438,Ga0 Tu1 Ta8 {*5* 8 3} Ch5,398042,1,Matcher,2,"T3",385411,389222,3811,Visual,385411,389222,3811,"X"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,398042,422785,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,423189,2,Matcher,1,"T1",397837,418250,20413,Visual,397833,401414,3581,"X"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,398042,422785,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,423189,2,Matcher,1,"T1",397837,418250,20413,Visual,406207,408829,2622,"X"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,398042,422785,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,423189,2,Matcher,1,"T1",397837,418250,20413,Visual,413633,418268,4635,"X"
D17_TT_Coded.eaf,D17,Visual,0,3,7,8,Incorrect,423189,445949,Ga0 Tu3 Ta7 {*8* 7 3} Ch8,453512,1,Matcher,1,"T1",429399,439017,9618,Visual,429399,439017,9618,"X"
D17_TT_Coded.eaf,D17,Visual,0,3,7,8,Incorrect,423189,445949,Ga0 Tu3 Ta7 {*8* 7 3} Ch8,453512,2,Director,1,"T2",440405,441418,1013,Visual,440405,441418,1013,"X"
D17_TT_Coded.eaf,D17,Visual,0,3,7,8,Incorrect,423189,445949,Ga0 Tu3 Ta7 {*8* 7 3} Ch8,453512,1,Matcher,2,"T3",441418,447823,6405,Visual,441418,447823,6405,"X"
D17_TT_Coded.eaf,D17,Visual,0,4,6,6,Correct,453512,466944,Ga0 Tu4 Ta6 {2 *6* 8} Ch6,465532,2,Matcher,1,"T1",453607,463823,10216,Visual,453607,463823,10216,"X"
D17_TT_Coded.eaf,D17,Visual,0,5,2,2,Correct,465532,518883,Ga0 Tu5 Ta2 {*2* 1 4} Ch2,526134,1,Matcher,1,"T1",468404,478227,9823,Visual,468416,474822,6406,"X"
D17_TT_Coded.eaf,D17,Visual,0,5,2,2,Correct,465532,518883,Ga0 Tu5 Ta2 {*2* 1 4} Ch2,526134,1,Matcher,1,"T1",468404,478227,9823,Visual,475598,478234,2636,"X"
D17_TT_Coded.eaf,D17,Visual,0,5,2,2,Correct,465532,518883,Ga0 Tu5 Ta2 {*2* 1 4} Ch2,526134,1,Matcher,2,"T1",508255,515816,7561,Visual,508255,515816,7561,"X"
D17_TT_Coded.eaf,D17,Visual,0,6,8,6,Incorrect,526134,540998,Ga0 Tu6 Ta8 {1 8 *6*} Ch6,540147,2,Matcher,1,"T1",523620,538039,14419,Visual,523620,538039,14419,"X"
D17_TT_Coded.eaf,D17,Visual,0,7,3,3,Correct,540147,558211,Ga0 Tu7 Ta3 {8 *3* 4} Ch3,563477,1,Matcher,1,"T1",543215,553634,10419,Visual,543215,553634,10419,"X"
D17_TT_Coded.eaf,D17,Visual,0,8,2,2,Correct,563477,572314,Ga0 Tu8 Ta2 {5 1 *2*} Ch2,570890,2,Matcher,1,"T1",562214,570619,8405,Visual,562214,570619,8405,"X"
D17_TT_Coded.eaf,D17,Visual,0,9,6,6,Correct,570890,590001,Ga0 Tu9 Ta6 {*6* 7 8} Ch6,594300,1,Matcher,1,"T1",574634,585621,10987,Visual,574634,585621,10987,"X"
D17_TT_Coded.eaf,D17,Visual,0,10,5,7,Incorrect,594300,616532,Ga0 Tu10 Ta5 {*7* 5 6} Ch7,615985,2,Matcher,1,"T1",595808,613443,17635,Visual,595808,613443,17635,"X"
D17_TT_Coded.eaf,D17,Visual,0,11,4,4,Correct,615985,634481,Ga0 Tu11 Ta4 {*4* 7 1} Ch4,639859,1,Matcher,1,"T1",622428,634023,11595,Visual,622428,634023,11595,"X"
D17_TT_Coded.eaf,D17,Visual,0,12,1,1,Correct,639859,650882,Ga0 Tu12 Ta1 {*1* 7 2} Ch1,650138,2,Matcher,1,"T1",640202,648851,8649,Visual,640202,648851,8649,"X"
D17_TT_Coded.eaf,D17,Visual,0,13,5,5,Correct,650138,666712,Ga0 Tu13 Ta5 {2 3 *5*} Ch5,672210,1,Matcher,1,"T1",653013,667634,14621,Visual,653013,667634,14621,"X"
D17_TT_Coded.eaf,D17,Visual,0,14,7,7,Correct,672210,686185,Ga0 Tu14 Ta7 {*7* 2 3} Ch7,686239,2,Matcher,1,"T1",672026,686026,14000,Visual,672026,686026,14000,"X"
D17_TT_Coded.eaf,D17,Visual,0,15,1,6,Incorrect,686239,706911,Ga0 Tu15 Ta1 {*6* 4 1} Ch6,734504,1,Matcher,1,"T1",691026,701823,10797,Visual,691026,701823,10797,"X"
D17_TT_Coded.eaf,D17,Visual,1,1,3,3,Correct,751190,764407,Ga1 Tu1 Ta3 {8 *3* 4} Ch3,771295,2,Director,1,"T1",744416,751227,6811,Visual,744416,751227,6811,"X"
D17_TT_Coded.eaf,D17,Visual,1,0,2,2,Correct,734504,752255,Ga1 Tu0 Ta2 {5 1 *2*} Ch2,751190,2,Matcher,1,"T1",744416,751227,6811,Visual,744416,751227,6811,"X"
D17_TT_Coded.eaf,D17,Visual,1,1,3,3,Correct,751190,764407,Ga1 Tu1 Ta3 {8 *3* 4} Ch3,771295,1,Matcher,1,"T1",755017,761432,6415,Visual,755017,761432,6415,"X"
D17_TT_Coded.eaf,D17,Visual,1,3,1,6,Incorrect,777870,792246,Ga1 Tu3 Ta1 {*6* 4 1} Ch6,797486,2,Director,1,"T1",770026,777837,7811,Visual,770026,777837,7811,"X"
D17_TT_Coded.eaf,D17,Visual,1,2,7,7,Correct,771295,778647,Ga1 Tu2 Ta7 {*7* 2 3} Ch7,777870,2,Matcher,1,"T1",770026,777837,7811,Visual,770026,777837,7811,"X"
D17_TT_Coded.eaf,D17,Visual,1,3,1,6,Incorrect,777870,792246,Ga1 Tu3 Ta1 {*6* 4 1} Ch6,797486,1,Matcher,1,"T1",781026,787026,6000,Visual,781026,787026,6000,"X"
D17_TT_Coded.eaf,D17,Visual,1,4,5,7,Incorrect,797486,817653,Ga1 Tu4 Ta5 {*7* 5 6} Ch7,816493,2,Matcher,1,"T1",797418,814799,17381,Visual,797418,814799,17381,"X"
D17_TT_Coded.eaf,D17,Visual,1,5,4,4,Correct,816493,829973,Ga1 Tu5 Ta4 {*4* 7 1} Ch4,834732,1,Matcher,1,"T1",820411,827817,7406,Visual,820411,827817,7406,"X"
D17_TT_Coded.eaf,D17,Visual,1,7,8,5,Incorrect,842628,862588,Ga1 Tu7 Ta8 {*5* 8 3} Ch5,868564,2,Director,1,"T1",836418,842607,6189,Visual,836418,842607,6189,"X"
D17_TT_Coded.eaf,D17,Visual,1,6,3,3,Correct,834732,844365,Ga1 Tu6 Ta3 {4 5 *3*} Ch3,842628,2,Matcher,1,"T1",836418,842607,6189,Visual,836418,842607,6189,"X"
D17_TT_Coded.eaf,D17,Visual,1,7,8,5,Incorrect,842628,862588,Ga1 Tu7 Ta8 {*5* 8 3} Ch5,868564,1,Matcher,1,"T1",846410,855608,9198,Visual,846410,855608,9198,"X"
D17_TT_Coded.eaf,D17,Visual,1,8,6,8,Incorrect,868564,881636,Ga1 Tu8 Ta6 {2 6 *8*} Ch8,880259,2,Matcher,1,"T1",869610,879407,9797,Visual,869610,879407,9797,"X"
D17_TT_Coded.eaf,D17,Visual,1,9,2,2,Correct,880259,892267,Ga1 Tu9 Ta2 {*2* 1 4} Ch2,897659,1,Matcher,1,"T1",883433,889821,6388,Visual,883433,889821,6388,"X"
D17_TT_Coded.eaf,D17,Visual,1,10,4,4,Correct,897659,907483,Ga1 Tu10 Ta4 {6 5 *4*} Ch4,906067,2,Matcher,1,"T1",896620,903836,7216,Visual,896620,903836,7216,"X"
D17_TT_Coded.eaf,D17,Visual,1,11,7,7,Correct,906067,931067,Ga1 Tu11 Ta7 {8 *7* 3} Ch7,935642,1,Matcher,1,"T1",909018,909028,10,Visual,909018,918430,9412,"X"
D17_TT_Coded.eaf,D17,Visual,1,11,7,7,Correct,906067,931067,Ga1 Tu11 Ta7 {8 *7* 3} Ch7,935642,1,Matcher,2,"T1",909028,925406,16378,Visual,909018,918430,9412,"X"
D17_TT_Coded.eaf,D17,Visual,1,11,7,7,Correct,906067,931067,Ga1 Tu11 Ta7 {8 *7* 3} Ch7,935642,1,Matcher,2,"T1",909028,925406,16378,Visual,920189,925405,5216,"X"
D17_TT_Coded.eaf,D17,Visual,1,12,8,8,Correct,935642,956010,Ga1 Tu12 Ta8 {1 *8* 6} Ch8,954506,2,Matcher,1,"T1",937020,952815,15795,Visual,937020,952815,15795,"X"
