filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D11_TT_Coded.eaf,D11,Visual,1,6,6,6,Correct,343591,351478,Ga1 Tu6 Ta6 {2 *6* 8} Ch6,351787,1,Director,1,"T1",347863,349512,1649,Visual,347863,349512,1649,"x"
D11_TT_Coded.eaf,D11,Visual,1,7,2,2,Correct,351787,357243,Ga1 Tu7 Ta2 {*2* 1 4} Ch2,357606,2,Director,1,"T1",354600,356046,1446,Visual,354600,356046,1446,"x"
D11_TT_Coded.eaf,D11,Visual,1,8,1,1,Correct,357606,373582,Ga1 Tu8 Ta1 {*1* 7 2} Ch1,374043,1,Director,1,"T1",363830,367655,3825,Visual,363830,367655,3825,"x"
D11_TT_Coded.eaf,D11,Visual,1,8,1,1,Correct,357606,373582,Ga1 Tu8 Ta1 {*1* 7 2} Ch1,374043,2,Matcher,1,"T2",368932,370418,1486,Visual,368932,370418,1486,"x"
D11_TT_Coded.eaf,D11,Visual,1,8,1,1,Correct,357606,373582,Ga1 Tu8 Ta1 {*1* 7 2} Ch1,374043,1,Director,2,"T3",370034,372615,2581,Visual,370034,372615,2581,"x"
D11_TT_Coded.eaf,D11,Visual,1,9,5,5,Correct,374043,381570,Ga1 Tu9 Ta5 {2 3 *5*} Ch5,381222,2,Director,1,"T1",377399,379493,2094,Visual,377399,379493,2094,"x"
D11_TT_Coded.eaf,D11,Visual,1,10,2,2,Correct,381222,388269,Ga1 Tu10 Ta2 {5 1 *2*} Ch2,388666,1,Director,1,"T1",385364,386945,1581,Visual,385364,386945,1581,"x"
D11_TT_Coded.eaf,D11,Visual,1,11,3,3,Correct,388666,399722,Ga1 Tu11 Ta3 {8 *3* 4} Ch3,399381,2,Director,1,"T1",393500,396756,3256,Visual,393500,396756,3256,"x"
D11_TT_Coded.eaf,D11,Visual,1,12,8,8,Correct,399381,406757,Ga1 Tu12 Ta8 {1 *8* 6} Ch8,406698,1,Director,1,"T1",402986,405121,2135,Visual,402986,405121,2135,"x"
D11_TT_Coded.eaf,D11,Visual,1,13,6,6,Correct,406698,413337,Ga1 Tu13 Ta6 {*6* 7 8} Ch6,414909,2,Director,1,"T1",410175,411756,1581,Visual,410175,411756,1581,"x"
D11_TT_Coded.eaf,D11,Visual,2,6,6,6,Correct,480491,486850,Ga2 Tu6 Ta6 {2 *6* 8} Ch6,486911,1,Director,1,"T1",483945,485324,1379,Visual,483945,485324,1379,"x"
D11_TT_Coded.eaf,D11,Visual,2,7,2,2,Correct,486911,492694,Ga2 Tu7 Ta2 {*2* 1 4} Ch2,493050,2,Director,1,"T1",490384,491601,1217,Visual,490384,491601,1217,"x"
D11_TT_Coded.eaf,D11,Visual,2,8,4,4,Correct,493050,501587,Ga2 Tu8 Ta4 {6 5 *4*} Ch4,501510,1,Director,1,"T1",498594,500202,1608,Visual,498594,500202,1608,"x"
D11_TT_Coded.eaf,D11,Visual,2,9,7,7,Correct,501510,509669,Ga2 Tu9 Ta7 {8 *7* 3} Ch7,509066,2,Director,1,"T1",504973,507554,2581,Visual,504973,507554,2581,"x"
D11_TT_Coded.eaf,D11,Visual,2,10,3,3,Correct,509066,518601,Ga2 Tu10 Ta3 {4 5 *3*} Ch3,517237,1,Director,1,"T1",513040,515499,2459,Visual,513040,515499,2459,"x"
D11_TT_Coded.eaf,D11,Visual,2,11,8,8,Correct,517237,526557,Ga2 Tu11 Ta8 {5 *8* 3} Ch8,526657,2,Director,1,"T1",522567,524783,2216,Visual,522567,524783,2216,"x"
D11_TT_Coded.eaf,D11,Visual,2,12,1,1,Correct,526657,534729,Ga2 Tu12 Ta1 {*1* 7 2} Ch1,533908,1,Director,1,"T1",530715,532742,2027,Visual,530715,532742,2027,"x"
D11_TT_Coded.eaf,D11,Visual,2,13,5,3,Incorrect,533908,541132,Ga2 Tu13 Ta5 {2 *3* 5} Ch3,541937,2,Director,1,"T1",537716,540135,2419,Visual,537716,540135,2419,"x"
D11_TT_Coded.eaf,D11,Auditory,0,5,4,4,Correct,873304,882928,Ga0 Tu5 Ta4 {*4* 7 1} Ch4,881643,2,Director,1,"T1",878080,878824,744,Visual,878080,878824,744,"x"
D11_TT_Coded.eaf,D11,Auditory,0,6,3,3,Correct,881643,891394,Ga0 Tu6 Ta3 {4 5 *3*} Ch3,891009,1,Director,1,"T1",889107,890012,905,Visual,889107,890012,905,"x"
D11_TT_Coded.eaf,D11,Auditory,0,7,8,8,Correct,891009,902551,Ga0 Tu7 Ta8 {5 *8* 3} Ch8,902746,2,Director,1,"T1",898918,900364,1446,Visual,898918,900364,1446,"x"
