filename,dyadNumber,condition,game,trial,target,choice,correct,trialStart,trialEnd,trialValue,startOfNextTrial,signallingPlayer,role,turnNumber,turnType,turnStart,turnEnd,turnLength,modality,signalStart,signalEnd,signalLength,signalType
D17_TT_Coded.eaf,D17,Visual,0,0,3,3,Correct,348980,360803,Ga0 Tu0 Ta3 {4 5 *3*} Ch3,366650,1,Director,1,"T1",353240,359600,6360,Visual,353240,359600,6360,"x"
D17_TT_Coded.eaf,D17,Visual,0,1,8,5,Incorrect,366650,392738,Ga0 Tu1 Ta8 {*5* 8 3} Ch5,395642,2,Director,1,"T1",370400,388840,18440,Visual,370400,376880,6480,"x"
D17_TT_Coded.eaf,D17,Visual,0,1,8,5,Incorrect,366650,392738,Ga0 Tu1 Ta8 {*5* 8 3} Ch5,395642,2,Director,1,"T1",370400,388840,18440,Visual,385580,388840,3260,"x"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,395642,420385,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,425489,1,Director,1,"T1",398020,401100,3080,Visual,398020,401100,3080,"x"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,395642,420385,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,425489,2,Matcher,1,"T2",404920,405420,500,Visual,404920,405420,500,"x"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,395642,420385,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,425489,1,Director,2,"T3",406120,418400,12280,Visual,406080,409660,3580,"x"
D17_TT_Coded.eaf,D17,Visual,0,2,4,4,Correct,395642,420385,Ga0 Tu2 Ta4 {6 5 *4*} Ch4,425489,1,Director,2,"T3",406120,418400,12280,Visual,413640,418400,4760,"x"
D17_TT_Coded.eaf,D17,Visual,0,13,5,5,Correct,652438,669012,Ga0 Tu13 Ta5 {2 3 *5*} Ch5,669810,2,Director,1,"T1",653040,667140,14100,Visual,653040,667140,14100,"x"
D17_TT_Coded.eaf,D17,Visual,0,14,7,7,Correct,669810,683785,Ga0 Tu14 Ta7 {*7* 2 3} Ch7,688539,1,Director,1,"T1",672020,685720,13700,Visual,672020,685720,13700,"x"
D17_TT_Coded.eaf,D17,Visual,0,15,1,6,Incorrect,688539,709211,Ga0 Tu15 Ta1 {*6* 4 1} Ch6,732104,2,Director,1,"T1",691180,701420,10240,Visual,691210,693330,2120,"x"
D17_TT_Coded.eaf,D17,Visual,0,15,1,6,Incorrect,688539,709211,Ga0 Tu15 Ta1 {*6* 4 1} Ch6,732104,2,Director,1,"T1",691180,701420,10240,Visual,695680,701440,5760,"x"
D17_TT_Coded.eaf,D17,Visual,1,15,5,5,Correct,985389,1002429,Ga1 Tu15 Ta5 {2 3 *5*} Ch5,1008344,2,Director,1,"T1",986260,995700,9440,Visual,986260,995700,9440,"x"
D17_TT_Coded.eaf,D17,Visual,2,0,7,7,Correct,1008344,1022191,Ga2 Tu0 Ta7 {*7* 2 3} Ch7,1027596,1,Director,1,"T1",1013510,1023510,10000,Visual,1013510,1023510,10000,"x"
