game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem
0,1,0,5_3_0,75922,2,0
0,3,7,4_7_2,161727,1,7
0,5,3,3_6_0,208365,0,3
0,7,1,1_0_3,240988,0,1
0,9,4,1_2_4,276156,2,4
0,11,2,7_2_3,310123,1,2
0,13,5,5_6_7,330561,0,5
0,15,6,7_6_2,359089,1,6
1,1,5,5_6_7,378833,0,5
1,3,3,3_6_0,401159,0,3
1,5,2,7_2_3,415167,1,2
1,7,1,1_0_3,431734,0,1
1,9,6,7_6_2,484773,0,7
1,11,7,4_7_2,504933,1,7
1,13,4,1_2_4,523500,2,4
1,15,0,5_3_0,540891,2,0
2,1,7,4_7_2,563923,1,7
2,3,6,7_6_2,586347,1,6
2,5,1,1_0_3,602562,0,1
2,7,2,7_2_3,737246,1,2
2,9,5,5_6_7,748757,0,5
2,11,3,3_6_0,770252,0,3
2,13,4,1_2_4,791380,2,4
2,15,0,5_3_0,812124,2,0
3,1,2,7_2_3,830275,1,2
3,3,0,5_3_0,850586,2,0
3,5,3,3_6_0,870010,0,3
3,7,7,4_7_2,885089,1,7
3,9,1,1_0_3,898897,0,1
3,11,6,7_6_2,920976,1,6
3,13,5,5_6_7,937672,0,5
3,15,4,1_2_4,997678,0,1
