game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,31434,,NextRound,5/13/2016, 5:01:50 PM
0,0,2,3_4_2,62641,2,2,5/13/2016, 5:02:21 PM
0,1,,_,133055,,NextRound,5/13/2016, 5:03:32 PM
0,2,3,5_4_3,140520,2,3,5/13/2016, 5:03:39 PM
0,3,,_,173814,,NextRound,5/13/2016, 5:04:12 PM
0,4,5,1_5_7,193110,1,5,5/13/2016, 5:04:32 PM
0,5,,_,218581,,NextRound,5/13/2016, 5:04:57 PM
0,6,7,0_7_5,228516,1,7,5/13/2016, 5:05:07 PM
0,7,,_,251076,,NextRound,5/13/2016, 5:05:30 PM
0,8,1,4_0_1,277467,2,1,5/13/2016, 5:05:56 PM
0,9,,_,297739,,NextRound,5/13/2016, 5:06:16 PM
0,10,4,6_4_5,314738,1,4,5/13/2016, 5:06:33 PM
0,11,,_,325955,,NextRound,5/13/2016, 5:06:44 PM
0,12,0,0_6_1,336802,0,0,5/13/2016, 5:06:55 PM
0,13,,_,353801,,NextRound,5/13/2016, 5:07:12 PM
0,14,6,6_1_2,377081,0,6,5/13/2016, 5:07:36 PM
0,15,,_,388024,,NextRound,5/13/2016, 5:07:46 PM
1,-1,,_,398944,,NextRound,5/13/2016, 5:07:57 PM
1,0,1,4_0_1,422464,2,1,5/13/2016, 5:08:21 PM
1,1,,_,439760,,NextRound,5/13/2016, 5:08:38 PM
1,2,6,6_1_2,455479,0,6,5/13/2016, 5:08:54 PM
1,3,,_,465038,,NextRound,5/13/2016, 5:09:04 PM
1,4,4,6_4_5,478214,1,4,5/13/2016, 5:09:17 PM
1,5,,_,483542,,NextRound,5/13/2016, 5:09:22 PM
1,6,2,3_4_2,497350,2,2,5/13/2016, 5:09:36 PM
1,7,,_,507597,,NextRound,5/13/2016, 5:09:46 PM
1,8,5,1_5_7,522109,1,5,5/13/2016, 5:10:01 PM
1,9,,_,530285,,NextRound,5/13/2016, 5:10:09 PM
1,10,3,5_4_3,541597,2,3,5/13/2016, 5:10:20 PM
1,11,,_,550788,,NextRound,5/13/2016, 5:10:29 PM
1,12,7,0_7_5,564411,1,7,5/13/2016, 5:10:43 PM
1,13,,_,574979,,NextRound,5/13/2016, 5:10:53 PM
1,14,0,0_6_1,579499,0,0,5/13/2016, 5:10:58 PM
1,15,,_,587507,,NextRound,5/13/2016, 5:11:06 PM
2,-1,,_,592531,,NextRound,5/13/2016, 5:11:11 PM
2,0,6,6_1_2,604386,0,6,5/13/2016, 5:11:23 PM
2,1,,_,611115,,NextRound,5/13/2016, 5:11:30 PM
2,2,2,3_4_2,621698,2,2,5/13/2016, 5:11:40 PM
2,3,,_,628386,,NextRound,5/13/2016, 5:11:47 PM
2,4,4,6_4_5,640250,1,4,5/13/2016, 5:11:59 PM
2,5,,_,646833,,NextRound,5/13/2016, 5:12:05 PM
2,6,5,1_5_7,657001,1,5,5/13/2016, 5:12:15 PM
2,7,,_,664129,,NextRound,5/13/2016, 5:12:23 PM
2,8,0,0_6_1,670162,0,0,5/13/2016, 5:12:29 PM
2,9,,_,675121,,NextRound,5/13/2016, 5:12:34 PM
2,10,1,4_0_1,685793,2,1,5/13/2016, 5:12:44 PM
2,11,,_,692256,,NextRound,5/13/2016, 5:12:51 PM
2,12,7,0_7_5,699144,1,7,5/13/2016, 5:12:58 PM
2,13,,_,707152,,NextRound,5/13/2016, 5:13:06 PM
2,14,3,5_4_3,713471,2,3,5/13/2016, 5:13:12 PM
2,15,,_,724119,,NextRound,5/13/2016, 5:13:23 PM
3,-1,,_,727143,,NextRound,5/13/2016, 5:13:26 PM
3,0,7,0_7_5,734047,1,7,5/13/2016, 5:13:33 PM
3,1,,_,740823,,NextRound,5/13/2016, 5:13:39 PM
3,2,4,6_4_5,751982,1,4,5/13/2016, 5:13:50 PM
3,3,,_,756966,,NextRound,5/13/2016, 5:13:55 PM
3,4,1,4_0_1,768655,2,1,5/13/2016, 5:14:07 PM
3,5,,_,774670,,NextRound,5/13/2016, 5:14:13 PM
3,6,5,1_5_7,784510,1,5,5/13/2016, 5:14:23 PM
3,7,,_,788942,,NextRound,5/13/2016, 5:14:27 PM
3,8,3,5_4_3,798405,2,3,5/13/2016, 5:14:37 PM
3,9,,_,809581,,NextRound,5/13/2016, 5:14:48 PM
3,10,2,3_4_2,819205,2,2,5/13/2016, 5:14:58 PM
3,11,,_,824461,,NextRound,5/13/2016, 5:15:03 PM
3,12,0,0_6_1,831733,0,0,5/13/2016, 5:15:10 PM
3,13,,_,841429,,NextRound,5/13/2016, 5:15:20 PM
3,14,6,6_1_2,847644,0,6,5/13/2016, 5:15:26 PM
3,15,,_,855829,,NextRound,5/13/2016, 5:15:34 PM
