game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,26907,,NextRound,5/27/2016, 5:14:13 PM
0,0,6,6_1_2,48517,0,6,5/27/2016, 5:14:35 PM
PrevRound
0,0,6,6_1_2,109700,0,6,5/27/2016, 5:15:36 PM
0,1,,_,210784,,NextRound,5/27/2016, 5:17:17 PM
0,2,2,3_4_2,251276,2,2,5/27/2016, 5:17:57 PM
0,3,,_,274769,,NextRound,5/27/2016, 5:18:21 PM
0,4,4,6_4_5,319255,1,4,5/27/2016, 5:19:05 PM
0,5,,_,338040,,NextRound,5/27/2016, 5:19:24 PM
0,6,5,1_5_7,361061,0,1,5/27/2016, 5:19:47 PM
0,7,,_,389416,,NextRound,5/27/2016, 5:20:15 PM
0,8,0,0_6_1,429138,0,0,5/27/2016, 5:20:55 PM
0,9,,_,451709,,NextRound,5/27/2016, 5:21:18 PM
0,10,1,4_0_1,486394,1,0,5/27/2016, 5:21:52 PM
0,11,,_,518118,,NextRound,5/27/2016, 5:22:24 PM
0,12,7,0_7_5,535946,1,7,5/27/2016, 5:22:42 PM
0,13,,_,554172,,NextRound,5/27/2016, 5:23:00 PM
0,14,3,5_4_3,573837,2,3,5/27/2016, 5:23:20 PM
0,15,,_,614316,,NextRound,5/27/2016, 5:24:00 PM
1,-1,,_,634437,,NextRound,5/27/2016, 5:24:20 PM
1,0,7,0_7_5,643119,1,7,5/27/2016, 5:24:29 PM
1,1,,_,659120,,NextRound,5/27/2016, 5:24:45 PM
1,2,4,6_4_5,671256,1,4,5/27/2016, 5:24:57 PM
1,3,,_,684768,,NextRound,5/27/2016, 5:25:11 PM
1,4,1,4_0_1,710263,1,0,5/27/2016, 5:25:36 PM
1,5,,_,741890,,NextRound,5/27/2016, 5:26:08 PM
1,6,5,1_5_7,759907,0,1,5/27/2016, 5:26:26 PM
1,7,,_,789577,,NextRound,5/27/2016, 5:26:56 PM
1,8,3,5_4_3,798512,2,3,5/27/2016, 5:27:05 PM
1,9,,_,822052,,NextRound,5/27/2016, 5:27:28 PM
1,10,2,3_4_2,847314,2,2,5/27/2016, 5:27:53 PM
1,11,,_,862316,,NextRound,5/27/2016, 5:28:08 PM
1,12,0,0_6_1,882448,0,0,5/27/2016, 5:28:28 PM
1,13,,_,904117,,NextRound,5/27/2016, 5:28:50 PM
1,14,6,6_1_2,922301,0,6,5/27/2016, 5:29:08 PM
1,15,,_,943380,,NextRound,5/27/2016, 5:29:29 PM
2,-1,,_,949742,,NextRound,5/27/2016, 5:29:36 PM
2,0,2,3_4_2,977616,2,2,5/27/2016, 5:30:04 PM
2,1,,_,990828,,NextRound,5/27/2016, 5:30:17 PM
2,2,3,5_4_3,999461,2,3,5/27/2016, 5:30:25 PM
2,3,,_,1017040,,NextRound,5/27/2016, 5:30:43 PM
2,4,5,1_5_7,1030697,0,1,5/27/2016, 5:30:57 PM
2,5,,_,1052772,,NextRound,5/27/2016, 5:31:19 PM
2,6,7,0_7_5,1060349,1,7,5/27/2016, 5:31:26 PM
2,7,,_,1089498,,NextRound,5/27/2016, 5:31:56 PM
2,8,1,4_0_1,1110111,0,4,5/27/2016, 5:32:16 PM
2,9,,_,1133977,,NextRound,5/27/2016, 5:32:40 PM
2,10,4,6_4_5,1142950,1,4,5/27/2016, 5:32:49 PM
2,11,,_,1151735,,NextRound,5/27/2016, 5:32:58 PM
2,12,0,0_6_1,1164059,0,0,5/27/2016, 5:33:10 PM
2,13,,_,1183493,,NextRound,5/27/2016, 5:33:30 PM
2,14,6,6_1_2,1196366,0,6,5/27/2016, 5:33:42 PM
2,15,,_,1217051,,NextRound,5/27/2016, 5:34:03 PM
3,-1,,_,1221824,,NextRound,5/27/2016, 5:34:08 PM
3,0,1,4_0_1,1244082,2,1,5/27/2016, 5:34:30 PM
3,1,,_,1265412,,NextRound,5/27/2016, 5:34:51 PM
3,2,6,6_1_2,1281257,0,6,5/27/2016, 5:35:07 PM
3,3,,_,1297542,,NextRound,5/27/2016, 5:35:24 PM
3,4,4,6_4_5,1306159,1,4,5/27/2016, 5:35:32 PM
3,5,,_,1319460,,NextRound,5/27/2016, 5:35:45 PM
3,6,2,3_4_2,1336654,2,2,5/27/2016, 5:36:03 PM
3,7,,_,1348168,,NextRound,5/27/2016, 5:36:14 PM
3,8,5,1_5_7,1365116,1,5,5/27/2016, 5:36:31 PM
3,9,,_,1397830,,NextRound,5/27/2016, 5:37:04 PM
3,10,3,5_4_3,1405276,2,3,5/27/2016, 5:37:11 PM
3,11,,_,1430225,,NextRound,5/27/2016, 5:37:36 PM
3,12,7,0_7_5,1435873,1,7,5/27/2016, 5:37:42 PM
3,13,,_,1452850,,NextRound,5/27/2016, 5:37:59 PM
3,14,0,0_6_1,1462597,0,0,5/27/2016, 5:38:09 PM
3,15,,_,1478039,,NextRound,5/27/2016, 5:38:24 PM
