game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,12767,,NextRound,5/25/2016, 12:41:06 PM
0,0,6,6_1_2,31574,0,6,5/25/2016, 12:41:25 PM
0,1,,_,48686,,NextRound,5/25/2016, 12:41:42 PM
0,2,2,3_4_2,59661,2,2,5/25/2016, 12:41:53 PM
0,3,,_,70829,,NextRound,5/25/2016, 12:42:04 PM
0,4,4,6_4_5,89196,1,4,5/25/2016, 12:42:22 PM
0,5,,_,120819,,NextRound,5/25/2016, 12:42:54 PM
0,6,5,1_5_7,134570,0,1,5/25/2016, 12:43:08 PM
0,7,,_,150577,,NextRound,5/25/2016, 12:43:24 PM
0,8,0,0_6_1,172865,0,0,5/25/2016, 12:43:46 PM
0,9,,_,183880,,NextRound,5/25/2016, 12:43:57 PM
0,10,1,4_0_1,198008,2,1,5/25/2016, 12:44:11 PM
0,11,,_,213888,,NextRound,5/25/2016, 12:44:27 PM
0,12,7,0_7_5,220943,1,7,5/25/2016, 12:44:34 PM
0,13,,_,236742,,NextRound,5/25/2016, 12:44:50 PM
0,14,3,5_4_3,249431,2,3,5/25/2016, 12:45:02 PM
0,15,,_,262221,,NextRound,5/25/2016, 12:45:15 PM
1,-1,,_,269557,,NextRound,5/25/2016, 12:45:22 PM
1,0,7,0_7_5,278860,1,7,5/25/2016, 12:45:32 PM
1,1,,_,297524,,NextRound,5/25/2016, 12:45:50 PM
1,2,4,6_4_5,315931,1,4,5/25/2016, 12:46:09 PM
1,3,,_,334002,,NextRound,5/25/2016, 12:46:27 PM
1,4,1,4_0_1,339042,2,1,5/25/2016, 12:46:32 PM
1,5,,_,346922,,NextRound,5/25/2016, 12:46:40 PM
1,6,5,1_5_7,354394,1,5,5/25/2016, 12:46:47 PM
1,7,,_,362169,,NextRound,5/25/2016, 12:46:55 PM
1,8,3,5_4_3,372089,2,3,5/25/2016, 12:47:05 PM
1,9,,_,381745,,NextRound,5/25/2016, 12:47:15 PM
1,10,2,3_4_2,386768,2,2,5/25/2016, 12:47:20 PM
1,11,,_,394071,,NextRound,5/25/2016, 12:47:27 PM
1,12,0,0_6_1,400327,0,0,5/25/2016, 12:47:33 PM
1,13,,_,408071,,NextRound,5/25/2016, 12:47:41 PM
1,14,6,6_1_2,412727,0,6,5/25/2016, 12:47:46 PM
1,15,,_,418846,,NextRound,5/25/2016, 12:47:52 PM
2,-1,,_,423022,,NextRound,5/25/2016, 12:47:56 PM
2,0,2,3_4_2,428190,2,2,5/25/2016, 12:48:01 PM
2,1,,_,436014,,NextRound,5/25/2016, 12:48:09 PM
2,2,3,5_4_3,441806,0,5,5/25/2016, 12:48:15 PM
2,3,,_,447694,,NextRound,5/25/2016, 12:48:21 PM
2,4,5,1_5_7,452469,1,5,5/25/2016, 12:48:25 PM
2,5,,_,458797,,NextRound,5/25/2016, 12:48:32 PM
2,6,7,0_7_5,463021,1,7,5/25/2016, 12:48:36 PM
2,7,,_,471956,,NextRound,5/25/2016, 12:48:45 PM
2,8,1,4_0_1,477125,2,1,5/25/2016, 12:48:50 PM
2,9,,_,487436,,NextRound,5/25/2016, 12:49:00 PM
2,10,4,6_4_5,493012,0,6,5/25/2016, 12:49:06 PM
2,11,,_,500611,,NextRound,5/25/2016, 12:49:14 PM
2,12,0,0_6_1,505027,0,0,5/25/2016, 12:49:18 PM
2,13,,_,511131,,NextRound,5/25/2016, 12:49:24 PM
2,14,6,6_1_2,517899,0,6,5/25/2016, 12:49:31 PM
2,15,,_,527514,,NextRound,5/25/2016, 12:49:40 PM
3,-1,,_,531274,,NextRound,5/25/2016, 12:49:44 PM
3,0,1,4_0_1,535122,2,1,5/25/2016, 12:49:48 PM
3,1,,_,547569,,NextRound,5/25/2016, 12:50:01 PM
3,2,6,6_1_2,550833,0,6,5/25/2016, 12:50:04 PM
3,3,,_,556585,,NextRound,5/25/2016, 12:50:10 PM
3,4,4,6_4_5,561497,0,6,5/25/2016, 12:50:14 PM
3,5,,_,570241,,NextRound,5/25/2016, 12:50:23 PM
3,6,2,3_4_2,575976,2,2,5/25/2016, 12:50:29 PM
3,7,,_,583368,,NextRound,5/25/2016, 12:50:36 PM
3,8,5,1_5_7,587264,0,1,5/25/2016, 12:50:40 PM
3,9,,_,592456,,NextRound,5/25/2016, 12:50:45 PM
3,10,3,5_4_3,598199,0,5,5/25/2016, 12:50:51 PM
3,11,,_,604743,,NextRound,5/25/2016, 12:50:58 PM
3,12,7,0_7_5,609199,1,7,5/25/2016, 12:51:02 PM
3,13,,_,617911,,NextRound,5/25/2016, 12:51:11 PM
3,14,0,0_6_1,621351,0,0,5/25/2016, 12:51:14 PM
3,15,,_,626758,,NextRound,5/25/2016, 12:51:20 PM
