game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,29512,,NextRound,5/27/2016, 12:55:54 PM
0,0,6,6_1_2,40136,0,6,5/27/2016, 12:56:04 PM
0,1,,_,51446,,NextRound,5/27/2016, 12:56:16 PM
0,2,2,3_4_2,66798,2,2,5/27/2016, 12:56:31 PM
0,3,,_,78269,,NextRound,5/27/2016, 12:56:43 PM
0,4,4,6_4_5,92637,1,4,5/27/2016, 12:56:57 PM
0,5,,_,106028,,NextRound,5/27/2016, 12:57:10 PM
0,6,5,1_5_7,119476,1,5,5/27/2016, 12:57:24 PM
0,7,,_,140580,,NextRound,5/27/2016, 12:57:45 PM
0,8,0,0_6_1,148939,0,0,5/27/2016, 12:57:53 PM
0,9,,_,163090,,NextRound,5/27/2016, 12:58:07 PM
0,10,1,4_0_1,174907,2,1,5/27/2016, 12:58:19 PM
0,11,,_,197121,,NextRound,5/27/2016, 12:58:41 PM
0,12,7,0_7_5,202801,1,7,5/27/2016, 12:58:47 PM
0,13,,_,217168,,NextRound,5/27/2016, 12:59:02 PM
0,14,3,5_4_3,225984,2,3,5/27/2016, 12:59:10 PM
0,15,,_,239376,,NextRound,5/27/2016, 12:59:24 PM
1,-1,,_,242455,,NextRound,5/27/2016, 12:59:27 PM
1,0,7,0_7_5,250695,1,7,5/27/2016, 12:59:35 PM
1,1,,_,261623,,NextRound,5/27/2016, 12:59:46 PM
1,2,4,6_4_5,268134,1,4,5/27/2016, 12:59:52 PM
1,3,,_,275414,,NextRound,5/27/2016, 1:00:00 PM
1,4,1,4_0_1,284246,2,1,5/27/2016, 1:00:09 PM
1,5,,_,302477,,NextRound,5/27/2016, 1:00:27 PM
1,6,5,1_5_7,312180,1,5,5/27/2016, 1:00:37 PM
1,7,,_,325060,,NextRound,5/27/2016, 1:00:49 PM
1,8,3,5_4_3,332388,1,4,5/27/2016, 1:00:57 PM
1,9,,_,344044,,NextRound,5/27/2016, 1:01:08 PM
1,10,2,3_4_2,352107,2,2,5/27/2016, 1:01:16 PM
1,11,,_,359954,,NextRound,5/27/2016, 1:01:24 PM
1,12,0,0_6_1,366107,0,0,5/27/2016, 1:01:30 PM
1,13,,_,374474,,NextRound,5/27/2016, 1:01:39 PM
1,14,6,6_1_2,382194,0,6,5/27/2016, 1:01:47 PM
1,15,,_,391521,,NextRound,5/27/2016, 1:01:56 PM
2,-1,,_,394321,,NextRound,5/27/2016, 1:01:59 PM
2,0,2,3_4_2,399945,2,2,5/27/2016, 1:02:04 PM
2,1,,_,408209,,NextRound,5/27/2016, 1:02:13 PM
2,2,3,5_4_3,415969,2,3,5/27/2016, 1:02:20 PM
2,3,,_,426200,,NextRound,5/27/2016, 1:02:31 PM
2,4,5,1_5_7,433856,1,5,5/27/2016, 1:02:38 PM
2,5,,_,445143,,NextRound,5/27/2016, 1:02:49 PM
2,6,7,0_7_5,450143,1,7,5/27/2016, 1:02:54 PM
2,7,,_,465206,,NextRound,5/27/2016, 1:03:10 PM
2,8,1,4_0_1,469606,2,1,5/27/2016, 1:03:14 PM
2,9,,_,478966,,NextRound,5/27/2016, 1:03:23 PM
2,10,4,6_4_5,486917,1,4,5/27/2016, 1:03:31 PM
2,11,,_,493836,,NextRound,5/27/2016, 1:03:38 PM
2,12,0,0_6_1,499325,0,0,5/27/2016, 1:03:44 PM
2,13,,_,503876,,NextRound,5/27/2016, 1:03:48 PM
2,14,6,6_1_2,514236,2,2,5/27/2016, 1:03:59 PM
2,15,,_,522075,,NextRound,5/27/2016, 1:04:06 PM
3,-1,,_,524379,,NextRound,5/27/2016, 1:04:09 PM
3,0,1,4_0_1,528371,2,1,5/27/2016, 1:04:13 PM
3,1,,_,540467,,NextRound,5/27/2016, 1:04:25 PM
3,2,6,6_1_2,548074,0,6,5/27/2016, 1:04:32 PM
3,3,,_,554586,,NextRound,5/27/2016, 1:04:39 PM
3,4,4,6_4_5,561371,1,4,5/27/2016, 1:04:46 PM
3,5,,_,567002,,NextRound,5/27/2016, 1:04:51 PM
3,6,2,3_4_2,572002,2,2,5/27/2016, 1:04:56 PM
3,7,,_,579217,,NextRound,5/27/2016, 1:05:04 PM
3,8,5,1_5_7,584337,1,5,5/27/2016, 1:05:09 PM
3,9,,_,590257,,NextRound,5/27/2016, 1:05:15 PM
3,10,3,5_4_3,599441,1,4,5/27/2016, 1:05:24 PM
3,11,,_,609400,,NextRound,5/27/2016, 1:05:34 PM
3,12,7,0_7_5,612784,1,7,5/27/2016, 1:05:37 PM
3,13,,_,622152,,NextRound,5/27/2016, 1:05:46 PM
3,14,0,0_6_1,626248,0,0,5/27/2016, 1:05:51 PM
3,15,,_,631535,,NextRound,5/27/2016, 1:05:56 PM
