game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,20995,,NextRound,5/18/2016, 2:43:26 PM
0,0,1,4_0_1,68645,2,1,5/18/2016, 2:44:13 PM
0,1,,_,107153,,NextRound,5/18/2016, 2:44:52 PM
0,2,6,6_1_2,129638,0,6,5/18/2016, 2:45:14 PM
0,3,,_,162186,,NextRound,5/18/2016, 2:45:47 PM
0,4,4,6_4_5,182753,2,5,5/18/2016, 2:46:07 PM
0,5,,_,201090,,NextRound,5/18/2016, 2:46:26 PM
0,6,2,3_4_2,218080,2,2,5/18/2016, 2:46:43 PM
0,7,,_,236639,,NextRound,5/18/2016, 2:47:01 PM
0,8,5,1_5_7,261468,1,5,5/18/2016, 2:47:26 PM
0,9,,_,287791,,NextRound,5/18/2016, 2:47:52 PM
0,10,3,5_4_3,297825,2,3,5/18/2016, 2:48:02 PM
0,11,,_,324548,,NextRound,5/18/2016, 2:48:29 PM
0,12,7,0_7_5,334200,1,7,5/18/2016, 2:48:39 PM
0,13,,_,351441,,NextRound,5/18/2016, 2:48:56 PM
0,14,0,0_6_1,362254,0,0,5/18/2016, 2:49:07 PM
0,15,,_,387755,,NextRound,5/18/2016, 2:49:32 PM
1,-1,,_,393939,,NextRound,5/18/2016, 2:49:39 PM
1,0,6,6_1_2,409582,0,6,5/18/2016, 2:49:54 PM
1,1,,_,429141,,NextRound,5/18/2016, 2:50:14 PM
1,2,2,3_4_2,443435,2,2,5/18/2016, 2:50:28 PM
1,3,,_,471450,,NextRound,5/18/2016, 2:50:56 PM
1,4,4,6_4_5,483298,1,4,5/18/2016, 2:51:08 PM
1,5,,_,498455,,NextRound,5/18/2016, 2:51:23 PM
1,6,5,1_5_7,514014,1,5,5/18/2016, 2:51:39 PM
1,7,,_,543773,,NextRound,5/18/2016, 2:52:08 PM
1,8,0,0_6_1,551675,0,0,5/18/2016, 2:52:16 PM
1,9,,_,575838,,NextRound,5/18/2016, 2:52:40 PM
1,10,1,4_0_1,598357,2,1,5/18/2016, 2:53:03 PM
1,11,,_,627761,,NextRound,5/18/2016, 2:53:32 PM
1,12,7,0_7_5,640137,1,7,5/18/2016, 2:53:45 PM
1,13,,_,653383,,NextRound,5/18/2016, 2:53:58 PM
1,14,3,5_4_3,671315,2,3,5/18/2016, 2:54:16 PM
1,15,,_,690471,,NextRound,5/18/2016, 2:54:35 PM
2,-1,,_,696556,,NextRound,5/18/2016, 2:54:41 PM
2,0,7,0_7_5,704962,1,7,5/18/2016, 2:54:50 PM
2,1,,_,719410,,NextRound,5/18/2016, 2:55:04 PM
2,2,4,6_4_5,727106,1,4,5/18/2016, 2:55:12 PM
2,3,,_,738442,,NextRound,5/18/2016, 2:55:23 PM
2,4,1,4_0_1,750633,2,1,5/18/2016, 2:55:35 PM
2,5,,_,774817,,NextRound,5/18/2016, 2:55:59 PM
2,6,5,1_5_7,796601,1,5,5/18/2016, 2:56:21 PM
2,7,,_,819384,,NextRound,5/18/2016, 2:56:44 PM
2,8,3,5_4_3,827209,1,4,5/18/2016, 2:56:52 PM
2,9,,_,843672,,NextRound,5/18/2016, 2:57:08 PM
2,10,2,3_4_2,853144,2,2,5/18/2016, 2:57:18 PM
2,11,,_,870464,,NextRound,5/18/2016, 2:57:35 PM
2,12,0,0_6_1,876607,0,0,5/18/2016, 2:57:41 PM
2,13,,_,900199,,NextRound,5/18/2016, 2:58:05 PM
2,14,6,6_1_2,910511,0,6,5/18/2016, 2:58:15 PM
2,15,,_,925911,,NextRound,5/18/2016, 2:58:31 PM
3,-1,,_,928870,,NextRound,5/18/2016, 2:58:34 PM
3,0,2,3_4_2,944663,2,2,5/18/2016, 2:58:49 PM
3,1,,_,961406,,NextRound,5/18/2016, 2:59:06 PM
3,2,3,5_4_3,967878,1,4,5/18/2016, 2:59:13 PM
3,3,,_,978166,,NextRound,5/18/2016, 2:59:23 PM
3,4,5,1_5_7,989613,1,5,5/18/2016, 2:59:34 PM
3,5,,_,1008821,,NextRound,5/18/2016, 2:59:53 PM
3,6,7,0_7_5,1015005,1,7,5/18/2016, 3:00:00 PM
3,7,,_,1028621,,NextRound,5/18/2016, 3:00:13 PM
3,8,1,4_0_1,1043853,2,1,5/18/2016, 3:00:29 PM
3,9,,_,1057692,,NextRound,5/18/2016, 3:00:42 PM
3,10,4,6_4_5,1064421,1,4,5/18/2016, 3:00:49 PM
3,11,,_,1071188,,NextRound,5/18/2016, 3:00:56 PM
3,12,0,0_6_1,1077604,0,0,5/18/2016, 3:01:02 PM
3,13,,_,1093468,,NextRound,5/18/2016, 3:01:18 PM
3,14,6,6_1_2,1100868,0,6,5/18/2016, 3:01:26 PM
3,15,,_,1115395,,NextRound,5/18/2016, 3:01:40 PM
