game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,24342,,NextRound,6/1/2016, 10:24:39 AM
0,0,2,3_4_2,36165,2,2,6/1/2016, 10:24:51 AM
0,1,,_,71004,,NextRound,6/1/2016, 10:25:26 AM
0,2,3,5_4_3,95747,2,3,6/1/2016, 10:25:50 AM
0,3,,_,126474,,NextRound,6/1/2016, 10:26:21 AM
0,4,5,1_5_7,139906,1,5,6/1/2016, 10:26:35 AM
0,5,,_,155201,,NextRound,6/1/2016, 10:26:50 AM
PrevRound
0,5,,_,199096,,NextRound,6/1/2016, 10:27:34 AM
0,6,7,0_7_5,213960,2,5,6/1/2016, 10:27:49 AM
0,7,,_,236439,,NextRound,6/1/2016, 10:28:11 AM
0,8,1,4_0_1,245276,2,1,6/1/2016, 10:28:20 AM
0,9,,_,267262,,NextRound,6/1/2016, 10:28:42 AM
0,10,4,6_4_5,289494,0,6,6/1/2016, 10:29:04 AM
0,11,,_,312821,,NextRound,6/1/2016, 10:29:27 AM
0,12,0,0_6_1,323844,0,0,6/1/2016, 10:29:38 AM
0,13,,_,345172,,NextRound,6/1/2016, 10:30:00 AM
0,14,6,6_1_2,359147,0,6,6/1/2016, 10:30:14 AM
0,15,,_,385186,,NextRound,6/1/2016, 10:30:40 AM
1,-1,,_,407466,,NextRound,6/1/2016, 10:31:02 AM
1,0,1,4_0_1,425217,2,1,6/1/2016, 10:31:20 AM
1,1,,_,444257,,NextRound,6/1/2016, 10:31:39 AM
1,2,6,6_1_2,451609,0,6,6/1/2016, 10:31:46 AM
1,3,,_,470448,,NextRound,6/1/2016, 10:32:05 AM
1,4,4,6_4_5,490615,0,6,6/1/2016, 10:32:25 AM
1,5,,_,507694,,NextRound,6/1/2016, 10:32:42 AM
1,6,2,3_4_2,517327,2,2,6/1/2016, 10:32:52 AM
1,7,,_,541526,,NextRound,6/1/2016, 10:33:16 AM
1,8,5,1_5_7,554598,2,7,6/1/2016, 10:33:29 AM
1,9,,_,570621,,NextRound,6/1/2016, 10:33:45 AM
1,10,3,5_4_3,580445,2,3,6/1/2016, 10:33:55 AM
1,11,,_,608604,,NextRound,6/1/2016, 10:34:23 AM
1,12,7,0_7_5,628972,1,7,6/1/2016, 10:34:44 AM
1,13,,_,649195,,NextRound,6/1/2016, 10:35:04 AM
1,14,0,0_6_1,657594,0,0,6/1/2016, 10:35:12 AM
1,15,,_,677410,,NextRound,6/1/2016, 10:35:32 AM
2,-1,,_,683706,,NextRound,6/1/2016, 10:35:38 AM
2,0,6,6_1_2,697553,0,6,6/1/2016, 10:35:52 AM
2,1,,_,714321,,NextRound,6/1/2016, 10:36:09 AM
2,2,2,3_4_2,724968,2,2,6/1/2016, 10:36:20 AM
2,3,,_,756935,,NextRound,6/1/2016, 10:36:52 AM
2,4,4,6_4_5,793079,0,6,6/1/2016, 10:37:28 AM
2,5,,_,807222,,NextRound,6/1/2016, 10:37:42 AM
2,6,5,1_5_7,820310,2,7,6/1/2016, 10:37:55 AM
2,7,,_,839045,,NextRound,6/1/2016, 10:38:14 AM
2,8,0,0_6_1,846021,0,0,6/1/2016, 10:38:21 AM
2,9,,_,867868,,NextRound,6/1/2016, 10:38:42 AM
2,10,1,4_0_1,877964,2,1,6/1/2016, 10:38:53 AM
2,11,,_,891556,,NextRound,6/1/2016, 10:39:06 AM
2,12,7,0_7_5,908593,1,7,6/1/2016, 10:39:23 AM
2,13,,_,928938,,NextRound,6/1/2016, 10:39:44 AM
2,14,3,5_4_3,942562,2,3,6/1/2016, 10:39:57 AM
2,15,,_,968569,,NextRound,6/1/2016, 10:40:23 AM
3,-1,,_,1018312,,NextRound,6/1/2016, 10:41:13 AM
3,0,7,0_7_5,1035551,1,7,6/1/2016, 10:41:30 AM
3,1,,_,1063999,,NextRound,6/1/2016, 10:41:59 AM
3,2,4,6_4_5,1101677,1,4,6/1/2016, 10:42:36 AM
3,3,,_,1116237,,NextRound,6/1/2016, 10:42:51 AM
3,4,1,4_0_1,1126117,2,1,6/1/2016, 10:43:01 AM
3,5,,_,1146332,,NextRound,6/1/2016, 10:43:21 AM
3,6,5,1_5_7,1171459,1,5,6/1/2016, 10:43:46 AM
3,7,,_,1187339,,NextRound,6/1/2016, 10:44:02 AM
3,8,3,5_4_3,1198682,2,3,6/1/2016, 10:44:13 AM
3,9,,_,1219570,,NextRound,6/1/2016, 10:44:34 AM
3,10,2,3_4_2,1228433,2,2,6/1/2016, 10:44:43 AM
3,11,,_,1253273,,NextRound,6/1/2016, 10:45:08 AM
3,12,0,0_6_1,1260544,0,0,6/1/2016, 10:45:15 AM
3,13,,_,1281928,,NextRound,6/1/2016, 10:45:37 AM
3,14,6,6_1_2,1291816,0,6,6/1/2016, 10:45:46 AM
3,15,,_,1305023,,NextRound,6/1/2016, 10:46:00 AM
