game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,19080,,NextRound,6/3/2016, 12:42:42 PM
0,0,,_,45349,,NextRound,6/3/2016, 12:43:09 PM
PrevRound
0,0,,_,132530,,NextRound,6/3/2016, 12:44:36 PM
0,1,5,5_6_7,146906,0,5,6/3/2016, 12:44:50 PM
0,2,,_,173720,,NextRound,6/3/2016, 12:45:17 PM
0,3,3,3_6_0,189552,0,3,6/3/2016, 12:45:33 PM
0,4,,_,202615,,NextRound,6/3/2016, 12:45:46 PM
0,5,2,7_2_3,246270,2,3,6/3/2016, 12:46:29 PM
0,6,,_,265357,,NextRound,6/3/2016, 12:46:49 PM
0,7,1,1_0_3,275452,0,1,6/3/2016, 12:46:59 PM
0,8,,_,291636,,NextRound,6/3/2016, 12:47:15 PM
0,9,6,7_6_2,306500,1,6,6/3/2016, 12:47:30 PM
0,10,,_,321107,,NextRound,6/3/2016, 12:47:44 PM
0,11,7,4_7_2,333899,1,7,6/3/2016, 12:47:57 PM
0,12,,_,345938,,NextRound,6/3/2016, 12:48:09 PM
0,13,4,1_2_4,357705,2,4,6/3/2016, 12:48:21 PM
0,14,,_,373585,,NextRound,6/3/2016, 12:48:37 PM
0,15,0,5_3_0,384088,2,0,6/3/2016, 12:48:47 PM
1,-1,,_,395800,,NextRound,6/3/2016, 12:48:59 PM
1,0,,_,411487,,NextRound,6/3/2016, 12:49:15 PM
1,1,7,4_7_2,431238,1,7,6/3/2016, 12:49:34 PM
1,2,,_,457998,,NextRound,6/3/2016, 12:50:01 PM
1,3,6,7_6_2,483693,1,6,6/3/2016, 12:50:27 PM
1,4,,_,531211,,NextRound,6/3/2016, 12:51:14 PM
1,5,1,1_0_3,539522,0,1,6/3/2016, 12:51:23 PM
1,6,,_,564049,,NextRound,6/3/2016, 12:51:47 PM
1,7,2,7_2_3,583481,1,2,6/3/2016, 12:52:07 PM
1,8,,_,596360,,NextRound,6/3/2016, 12:52:20 PM
1,9,5,5_6_7,610608,1,6,6/3/2016, 12:52:34 PM
1,10,,_,646486,,NextRound,6/3/2016, 12:53:10 PM
1,11,3,3_6_0,661118,0,3,6/3/2016, 12:53:24 PM
1,12,,_,672549,,NextRound,6/3/2016, 12:53:36 PM
1,13,4,1_2_4,685501,2,4,6/3/2016, 12:53:49 PM
1,14,,_,704276,,NextRound,6/3/2016, 12:54:07 PM
1,15,0,5_3_0,711748,2,0,6/3/2016, 12:54:15 PM
2,-1,,_,716020,,NextRound,6/3/2016, 12:54:19 PM
2,0,,_,725915,,NextRound,6/3/2016, 12:54:29 PM
2,1,2,7_2_3,738907,1,2,6/3/2016, 12:54:42 PM
2,2,,_,749458,,NextRound,6/3/2016, 12:54:53 PM
2,3,0,5_3_0,755762,2,0,6/3/2016, 12:54:59 PM
2,4,,_,775168,,NextRound,6/3/2016, 12:55:18 PM
2,5,3,3_6_0,785624,0,3,6/3/2016, 12:55:29 PM
2,6,,_,799959,,NextRound,6/3/2016, 12:55:43 PM
2,7,7,4_7_2,812808,1,7,6/3/2016, 12:55:56 PM
2,8,,_,828799,,NextRound,6/3/2016, 12:56:12 PM
2,9,1,1_0_3,840166,0,1,6/3/2016, 12:56:23 PM
2,10,,_,854606,,NextRound,6/3/2016, 12:56:38 PM
2,11,6,7_6_2,868301,1,6,6/3/2016, 12:56:51 PM
2,12,,_,883269,,NextRound,6/3/2016, 12:57:06 PM
2,13,5,5_6_7,895868,1,6,6/3/2016, 12:57:19 PM
2,14,,_,907963,,NextRound,6/3/2016, 12:57:31 PM
2,15,4,1_2_4,919315,2,4,6/3/2016, 12:57:42 PM
3,-1,,_,922179,,NextRound,6/3/2016, 12:57:45 PM
3,0,,_,939890,,NextRound,6/3/2016, 12:58:03 PM
3,1,0,5_3_0,946394,2,0,6/3/2016, 12:58:10 PM
3,2,,_,956306,,NextRound,6/3/2016, 12:58:19 PM
3,3,7,4_7_2,966649,1,7,6/3/2016, 12:58:30 PM
3,4,,_,998864,,NextRound,6/3/2016, 12:59:02 PM
3,5,3,3_6_0,1010671,0,3,6/3/2016, 12:59:14 PM
3,6,,_,1024687,,NextRound,6/3/2016, 12:59:28 PM
3,7,1,1_0_3,1033526,0,1,6/3/2016, 12:59:37 PM
3,8,,_,1045983,,NextRound,6/3/2016, 12:59:49 PM
3,9,4,1_2_4,1060734,2,4,6/3/2016, 1:00:04 PM
3,10,,_,1071717,,NextRound,6/3/2016, 1:00:15 PM
3,11,2,7_2_3,1081773,1,2,6/3/2016, 1:00:25 PM
3,12,,_,1094804,,NextRound,6/3/2016, 1:00:38 PM
3,13,5,5_6_7,1108331,1,6,6/3/2016, 1:00:52 PM
3,14,,_,1120507,,NextRound,6/3/2016, 1:01:04 PM
3,15,6,7_6_2,1132443,1,6,6/3/2016, 1:01:16 PM
