game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,33152,,NextRound,5/9/2016, 10:55:25 AM
0,0,2,3_4_2,43575,2,2,5/9/2016, 10:55:35 AM
0,1,,_,72046,,NextRound,5/9/2016, 10:56:04 AM
0,2,3,5_4_3,93149,1,4,5/9/2016, 10:56:25 AM
0,3,,_,101965,,NextRound,5/9/2016, 10:56:34 AM
PrevRound
0,3,,_,140324,,NextRound,5/9/2016, 10:57:12 AM
0,4,5,1_5_7,150292,0,1,5/9/2016, 10:57:22 AM
0,5,,_,156154,,NextRound,5/9/2016, 10:57:28 AM
PrevRound
0,5,,_,230912,,NextRound,5/9/2016, 10:58:43 AM
0,6,7,0_7_5,240368,0,0,5/9/2016, 10:58:52 AM
0,7,,_,257815,,NextRound,5/9/2016, 10:59:10 AM
0,8,1,4_0_1,267062,2,1,5/9/2016, 10:59:19 AM
0,9,,_,284334,,NextRound,5/9/2016, 10:59:36 AM
0,10,4,6_4_5,294517,0,6,5/9/2016, 10:59:46 AM
0,11,,_,314293,,NextRound,5/9/2016, 11:00:06 AM
0,12,0,0_6_1,324252,1,6,5/9/2016, 11:00:16 AM
0,13,,_,344068,,NextRound,5/9/2016, 11:00:36 AM
0,14,6,6_1_2,355980,0,6,5/9/2016, 11:00:48 AM
0,15,,_,373859,,NextRound,5/9/2016, 11:01:06 AM
1,-1,,_,389819,,NextRound,5/9/2016, 11:01:22 AM
1,0,1,4_0_1,394410,2,1,5/9/2016, 11:01:26 AM
1,1,,_,413649,,NextRound,5/9/2016, 11:01:45 AM
1,2,6,6_1_2,420025,0,6,5/9/2016, 11:01:52 AM
1,3,,_,433553,,NextRound,5/9/2016, 11:02:05 AM
1,4,4,6_4_5,442888,2,5,5/9/2016, 11:02:15 AM
1,5,,_,459968,,NextRound,5/9/2016, 11:02:32 AM
1,6,2,3_4_2,471544,0,3,5/9/2016, 11:02:43 AM
1,7,,_,484800,,NextRound,5/9/2016, 11:02:57 AM
1,8,5,1_5_7,492887,2,7,5/9/2016, 11:03:05 AM
1,9,,_,507382,,NextRound,5/9/2016, 11:03:19 AM
1,10,3,5_4_3,515702,2,3,5/9/2016, 11:03:28 AM
1,11,,_,532205,,NextRound,5/9/2016, 11:03:44 AM
1,12,7,0_7_5,541093,1,7,5/9/2016, 11:03:53 AM
1,13,,_,558613,,NextRound,5/9/2016, 11:04:10 AM
1,14,0,0_6_1,566060,0,0,5/9/2016, 11:04:18 AM
1,15,,_,580716,,NextRound,5/9/2016, 11:04:33 AM
2,-1,,_,586380,,NextRound,5/9/2016, 11:04:38 AM
2,0,6,6_1_2,595171,0,6,5/9/2016, 11:04:47 AM
2,1,,_,607699,,NextRound,5/9/2016, 11:05:00 AM
2,2,2,3_4_2,616626,2,2,5/9/2016, 11:05:08 AM
2,3,,_,628314,,NextRound,5/9/2016, 11:05:20 AM
2,4,4,6_4_5,636946,1,4,5/9/2016, 11:05:29 AM
2,5,,_,652097,,NextRound,5/9/2016, 11:05:44 AM
2,6,5,1_5_7,660929,2,7,5/9/2016, 11:05:53 AM
2,7,,_,673249,,NextRound,5/9/2016, 11:06:05 AM
2,8,0,0_6_1,680256,0,0,5/9/2016, 11:06:12 AM
2,9,,_,692032,,NextRound,5/9/2016, 11:06:24 AM
2,10,1,4_0_1,697352,2,1,5/9/2016, 11:06:29 AM
2,11,,_,709071,,NextRound,5/9/2016, 11:06:41 AM
2,12,7,0_7_5,717031,1,7,5/9/2016, 11:06:49 AM
2,13,,_,728263,,NextRound,5/9/2016, 11:07:00 AM
2,14,3,5_4_3,737998,2,3,5/9/2016, 11:07:10 AM
2,15,,_,749878,,NextRound,5/9/2016, 11:07:22 AM
3,-1,,_,753502,,NextRound,5/9/2016, 11:07:25 AM
3,0,7,0_7_5,769741,1,7,5/9/2016, 11:07:42 AM
3,1,,_,783301,,NextRound,5/9/2016, 11:07:55 AM
3,2,4,6_4_5,793068,1,4,5/9/2016, 11:08:05 AM
3,3,,_,805053,,NextRound,5/9/2016, 11:08:17 AM
3,4,1,4_0_1,810372,2,1,5/9/2016, 11:08:22 AM
3,5,,_,821347,,NextRound,5/9/2016, 11:08:33 AM
3,6,5,1_5_7,827907,1,5,5/9/2016, 11:08:40 AM
3,7,,_,834931,,NextRound,5/9/2016, 11:08:47 AM
3,8,3,5_4_3,840499,2,3,5/9/2016, 11:08:52 AM
3,9,,_,851434,,NextRound,5/9/2016, 11:09:03 AM
3,10,2,3_4_2,855793,0,3,5/9/2016, 11:09:08 AM
3,11,,_,866242,,NextRound,5/9/2016, 11:09:18 AM
3,12,0,0_6_1,871874,0,0,5/9/2016, 11:09:24 AM
3,13,,_,882449,,NextRound,5/9/2016, 11:09:34 AM
3,14,6,6_1_2,888745,0,6,5/9/2016, 11:09:41 AM
3,15,,_,899513,,NextRound,5/9/2016, 11:09:51 AM
