game,stage,currentTarget,currentDistractors,timeSinceStart,choiceButton,choiceItem,date
0,-1,,_,13172,,NextRound,5/19/2016, 5:28:17 PM
0,0,1,4_0_1,21435,2,1,5/19/2016, 5:28:25 PM
0,1,,_,104496,,NextRound,5/19/2016, 5:29:48 PM
0,2,6,6_1_2,140463,0,6,5/19/2016, 5:30:24 PM
0,3,,_,154286,,NextRound,5/19/2016, 5:30:38 PM
0,4,4,6_4_5,215302,1,4,5/19/2016, 5:31:39 PM
0,5,,_,231941,,NextRound,5/19/2016, 5:31:55 PM
0,6,2,3_4_2,257828,2,2,5/19/2016, 5:32:21 PM
0,7,,_,271155,,NextRound,5/19/2016, 5:32:35 PM
0,8,5,1_5_7,279019,1,5,5/19/2016, 5:32:43 PM
0,9,,_,285403,,NextRound,5/19/2016, 5:32:49 PM
0,10,3,5_4_3,295779,2,3,5/19/2016, 5:32:59 PM
0,11,,_,306642,,NextRound,5/19/2016, 5:33:10 PM
0,12,7,0_7_5,314542,1,7,5/19/2016, 5:33:18 PM
0,13,,_,318786,,NextRound,5/19/2016, 5:33:22 PM
0,14,0,0_6_1,325010,1,6,5/19/2016, 5:33:29 PM
0,15,,_,335002,,NextRound,5/19/2016, 5:33:38 PM
1,-1,,_,339721,,NextRound,5/19/2016, 5:33:43 PM
1,0,6,6_1_2,372040,0,6,5/19/2016, 5:34:16 PM
1,1,,_,381576,,NextRound,5/19/2016, 5:34:25 PM
1,2,2,3_4_2,390888,2,2,5/19/2016, 5:34:34 PM
1,3,,_,402279,,NextRound,5/19/2016, 5:34:46 PM
1,4,4,6_4_5,411015,0,6,5/19/2016, 5:34:55 PM
1,5,,_,427511,,NextRound,5/19/2016, 5:35:11 PM
1,6,5,1_5_7,434422,1,5,5/19/2016, 5:35:18 PM
1,7,,_,439918,,NextRound,5/19/2016, 5:35:23 PM
1,8,0,0_6_1,450630,1,6,5/19/2016, 5:35:34 PM
1,9,,_,468461,,NextRound,5/19/2016, 5:35:52 PM
1,10,1,4_0_1,472349,2,1,5/19/2016, 5:35:56 PM
1,11,,_,479317,,NextRound,5/19/2016, 5:36:03 PM
1,12,7,0_7_5,485565,1,7,5/19/2016, 5:36:09 PM
1,13,,_,493173,,NextRound,5/19/2016, 5:36:17 PM
1,14,3,5_4_3,500348,2,3,5/19/2016, 5:36:24 PM
1,15,,_,509573,,NextRound,5/19/2016, 5:36:33 PM
2,-1,,_,513980,,NextRound,5/19/2016, 5:36:37 PM
2,0,7,0_7_5,520556,1,7,5/19/2016, 5:36:44 PM
2,1,,_,524884,,NextRound,5/19/2016, 5:36:48 PM
2,2,4,6_4_5,543339,0,6,5/19/2016, 5:37:07 PM
2,3,,_,550035,,NextRound,5/19/2016, 5:37:14 PM
2,4,1,4_0_1,554900,2,1,5/19/2016, 5:37:18 PM
2,5,,_,560706,,NextRound,5/19/2016, 5:37:24 PM
2,6,5,1_5_7,572826,1,5,5/19/2016, 5:37:36 PM
2,7,,_,578074,,NextRound,5/19/2016, 5:37:42 PM
2,8,3,5_4_3,583666,2,3,5/19/2016, 5:37:47 PM
2,9,,_,590506,,NextRound,5/19/2016, 5:37:54 PM
2,10,2,3_4_2,597634,2,2,5/19/2016, 5:38:01 PM
2,11,,_,610689,,NextRound,5/19/2016, 5:38:14 PM
2,12,0,0_6_1,615521,1,6,5/19/2016, 5:38:19 PM
2,13,,_,623913,,NextRound,5/19/2016, 5:38:27 PM
2,14,6,6_1_2,630385,0,6,5/19/2016, 5:38:34 PM
2,15,,_,636896,,NextRound,5/19/2016, 5:38:40 PM
3,-1,,_,640288,,NextRound,5/19/2016, 5:38:44 PM
3,0,2,3_4_2,646088,2,2,5/19/2016, 5:38:50 PM
3,1,,_,663296,,NextRound,5/19/2016, 5:39:07 PM
3,2,3,5_4_3,671311,2,3,5/19/2016, 5:39:15 PM
3,3,,_,676792,,NextRound,5/19/2016, 5:39:20 PM
3,4,5,1_5_7,681375,1,5,5/19/2016, 5:39:25 PM
3,5,,_,686567,,NextRound,5/19/2016, 5:39:30 PM
3,6,7,0_7_5,692631,1,7,5/19/2016, 5:39:36 PM
3,7,,_,699559,,NextRound,5/19/2016, 5:39:43 PM
3,8,1,4_0_1,705046,2,1,5/19/2016, 5:39:49 PM
3,9,,_,709398,,NextRound,5/19/2016, 5:39:53 PM
3,10,4,6_4_5,715198,0,6,5/19/2016, 5:39:59 PM
3,11,,_,725294,,NextRound,5/19/2016, 5:40:09 PM
3,12,0,0_6_1,731886,1,6,5/19/2016, 5:40:15 PM
3,13,,_,746429,,NextRound,5/19/2016, 5:40:30 PM
3,14,6,6_1_2,761837,0,6,5/19/2016, 5:40:45 PM
3,15,,_,770668,,NextRound,5/19/2016, 5:40:54 PM
