"X","filename","dyadNumber","condition","game","trial","target","choice","correct","trialStart","trialEnd","trialValue","startOfNextTrial","signallingPlayer","role","turnNumber","turnType","turnStart","turnEnd","turnLength","modality","signalStart","signalEnd","signalLength","signalType","trialString","modalityCondition","playerId","itemId","turnString","trialLength","T1.propAc","T2.propAc","T3Plus.propAc","T4Plus.propAc","Director.propAc","Matcher.propAc"
366,"D12_TT_Coded.eaf","D12","Auditory",0,0,2,2,TRUE,55516,87619,"Ga0 Tu0 Ta2 {5 1 *2*} Ch2",89072,1,"Director",1,"T1",71607,84620,13013,"Visual",71607,84620,13013,"X","Auditory D12 0 0","multi","D12 1","Auditory 2","Auditory multi D12 71607 84620",16012,0,NA,NA,0,0,NA
367,"D12_TT_Coded.eaf","D12","Auditory",0,1,3,3,TRUE,89072,124480,"Ga0 Tu1 Ta3 {8 *3* 4} Ch3",124370,2,"Director",1,"T1",100026,118026,18000,"Visual",100040,108027,7987,"X","Auditory D12 0 1","multi","D12 2","Auditory 3","Auditory multi D12 100026 118026",24454,0,NA,NA,0,0,NA
369,"D12_TT_Coded.eaf","D12","Auditory",0,2,7,7,TRUE,124370,144545,"Ga0 Tu2 Ta7 {*7* 2 3} Ch7",148800,1,"Director",1,"T1",129215,144242,15027,"Visual",129229,132026,2797,"X","Auditory D12 0 2","multi","D12 1","Auditory 7","Auditory multi D12 129215 144242",15330,0.201033732317737,NA,NA,0.201033732317737,0.201033732317737,NA
372,"D12_TT_Coded.eaf","D12","Auditory",0,3,1,1,TRUE,148800,160998,"Ga0 Tu3 Ta1 {6 4 *1*} Ch1",162704,2,"Director",1,"T1",149431,152418,2987,"Visual",149431,152418,2987,"X","Auditory D12 0 3","multi","D12 2","Auditory 1","Auditory multi D12 149431 152418",11567,0,0,0,0,0,0
375,"D12_TT_Coded.eaf","D12","Auditory",0,4,5,5,TRUE,162704,174559,"Ga0 Tu4 Ta5 {7 *5* 6} Ch5",174646,1,"Director",1,"T1",166040,170215,4175,"Visual",166040,170215,4175,"X","Auditory D12 0 4","multi","D12 1","Auditory 5","Auditory multi D12 166040 170215",8519,0,NA,NA,0,0,NA
376,"D12_TT_Coded.eaf","D12","Auditory",0,5,4,4,TRUE,174646,183981,"Ga0 Tu5 Ta4 {*4* 7 1} Ch4",185552,2,"Director",1,"T1",178824,180229,1405,"Visual",178824,180229,1405,"X","Auditory D12 0 5","multi","D12 2","Auditory 4","Auditory multi D12 178824 180229",5157,0,NA,NA,0,0,NA
377,"D12_TT_Coded.eaf","D12","Auditory",0,6,3,3,TRUE,185552,199351,"Ga0 Tu6 Ta3 {4 5 *3*} Ch3",201572,1,"Director",1,"T1",191026,194648,3622,"Visual",191026,194648,3622,"X","Auditory D12 0 6","multi","D12 1","Auditory 3","Auditory multi D12 191026 194648",8325,0.400430392319152,NA,NA,0.400430392319152,0.400430392319152,NA
379,"D12_TT_Coded.eaf","D12","Auditory",0,7,8,8,TRUE,201572,214740,"Ga0 Tu7 Ta8 {5 *8* 3} Ch8",216955,2,"Director",1,"T1",204215,206823,2608,"Visual",204215,206823,2608,"X","Auditory D12 0 7","multi","D12 2","Auditory 8","Auditory multi D12 204215 206823",10525,0,0,0,0,0,0
382,"D12_TT_Coded.eaf","D12","Auditory",0,9,2,2,TRUE,216955,283569,"Ga0 Tu9 Ta2 {*2* 1 4} Ch2",224062,2,"Director",1,"T1",271026,274621,3595,"Visual",271026,274621,3595,"X","Auditory D12 0 9","multi","D12 2","Auditory 2","Auditory multi D12 271026 274621",12543,0,NA,NA,0,0,NA
383,"D12_TT_Coded.eaf","D12","Auditory",0,10,4,5,FALSE,282797,294188,"Ga0 Tu10 Ta4 {6 *5* 4} Ch5",298225,1,"Director",1,"T1",287607,289039,1432,"Visual",287607,289039,1432,"X","Auditory D12 0 10","multi","D12 1","Auditory 4","Auditory multi D12 287607 289039",6581,0,NA,NA,0,0,NA
